ID	Order	Standardized_abundance	
propionate production III	Actinomycetales	0.095066141	
quinolone_antibacterials	Actinomycetales	0.004423833	
rifampicin	Actinomycetales	3.270748157	
Sialidase	Actinomycetales	3.59286764	
succinate production	Actinomycetales	4.244917474	
sulfonamides	Actinomycetales	0.020871717	
tetracyclines	Actinomycetales	0.145924041	
trimethoprim	Actinomycetales	NA	
Trimethylamine	Actinomycetales	NA	
Urease	Actinomycetales	0.936952505	
Vaginolysin	Actinomycetales	1.351875211	
acetate: acetyl-CoA to acetate	Bacillales	0.000308561	
aminoglycosides	Bacillales	NA	
beta_lactamases	Bacillales	NA	
Biofilm	Bacillales	0.000937521	
butyrate production I	Bacillales	0.006454558	
butyrate production II	Bacillales	0.004983782	
butyrate: acetyl-CoA to crotonyl-CoA	Bacillales	0.001284611	
Cadaverine	Bacillales	NA	
Cytolysin	Bacillales	NA	
fosfomycins	Bacillales	NA	
glycopeptides	Bacillales	NA	
Hemolysin	Bacillales	NA	
Inerolysin	Bacillales	NA	
lactate production	Bacillales	0.000182068	
macrolide_lincosamide_streptogramin	Bacillales	NA	
multiple_drug_resistance	Bacillales	NA	
N-Acetylputrescine	Bacillales	NA	
peptide_antibiotic	Bacillales	NA	
phenicols	Bacillales	NA	
Phospholipase C	Bacillales	NA	
polymyxin	Bacillales	NA	
propionate production I	Bacillales	NA	
propionate production II	Bacillales	0.006895662	
propionate production III	Bacillales	0.001556735	
quinolone_antibacterials	Bacillales	NA	
rifampicin	Bacillales	0.000519494	
Sialidase	Bacillales	NA	
succinate production	Bacillales	0.001059812	
sulfonamides	Bacillales	NA	
tetracyclines	Bacillales	NA	
trimethoprim	Bacillales	NA	
Trimethylamine	Bacillales	NA	
Urease	Bacillales	NA	
Vaginolysin	Bacillales	NA	
acetate: acetyl-CoA to acetate	Bacteroidales	0.559961102	
aminoglycosides	Bacteroidales	0.005349559	
beta_lactamases	Bacteroidales	0.881278885	
Biofilm	Bacteroidales	1.913757472	
butyrate production I	Bacteroidales	NA	
butyrate production II	Bacteroidales	NA	
butyrate: acetyl-CoA to crotonyl-CoA	Bacteroidales	NA	
Cadaverine	Bacteroidales	NA	
Cytolysin	Bacteroidales	0.565938143	
fosfomycins	Bacteroidales	NA	
glycopeptides	Bacteroidales	NA	
Hemolysin	Bacteroidales	0.611164858	
Inerolysin	Bacteroidales	0.565938143	
lactate production	Bacteroidales	0.046245558	
macrolide_lincosamide_streptogramin	Bacteroidales	0.078769308	
multiple_drug_resistance	Bacteroidales	0.010662923	
N-Acetylputrescine	Bacteroidales	3.292917358	
peptide_antibiotic	Bacteroidales	0.000371347	
phenicols	Bacteroidales	NA	
Phospholipase C	Bacteroidales	NA	
polymyxin	Bacteroidales	NA	
propionate production I	Bacteroidales	NA	
propionate production II	Bacteroidales	NA	
propionate production III	Bacteroidales	2.318044818	
quinolone_antibacterials	Bacteroidales	NA	
rifampicin	Bacteroidales	NA	
Sialidase	Bacteroidales	1.665602127	
succinate production	Bacteroidales	2.212312293	
sulfonamides	Bacteroidales	NA	
tetracyclines	Bacteroidales	0.79980628	
trimethoprim	Bacteroidales	NA	
Trimethylamine	Bacteroidales	NA	
Urease	Bacteroidales	0.041618063	
Vaginolysin	Bacteroidales	0.565938143	
acetate: acetyl-CoA to acetate	BD1-5	NA	
aminoglycosides	BD1-5	NA	
beta_lactamases	BD1-5	NA	
Biofilm	BD1-5	9.81E-06	
butyrate production I	BD1-5	NA	
butyrate production II	BD1-5	NA	
butyrate: acetyl-CoA to crotonyl-CoA	BD1-5	NA	
Cadaverine	BD1-5	NA	
Cytolysin	BD1-5	NA	
fosfomycins	BD1-5	NA	
glycopeptides	BD1-5	NA	
Hemolysin	BD1-5	NA	
Inerolysin	BD1-5	NA	
lactate production	BD1-5	NA	
macrolide_lincosamide_streptogramin	BD1-5	NA	
multiple_drug_resistance	BD1-5	NA	
N-Acetylputrescine	BD1-5	NA	
peptide_antibiotic	BD1-5	NA	
phenicols	BD1-5	NA	
Phospholipase C	BD1-5	NA	
polymyxin	BD1-5	NA	
propionate production I	BD1-5	NA	
propionate production II	BD1-5	NA	
propionate production III	BD1-5	NA	
quinolone_antibacterials	BD1-5	NA	
rifampicin	BD1-5	NA	
Sialidase	BD1-5	NA	
succinate production	BD1-5	NA	
sulfonamides	BD1-5	NA	
tetracyclines	BD1-5	NA	
trimethoprim	BD1-5	NA	
Trimethylamine	BD1-5	NA	
Urease	BD1-5	NA	
Vaginolysin	BD1-5	NA	
acetate: acetyl-CoA to acetate	Burkholderiales	0.020168627	
aminoglycosides	Burkholderiales	NA	
beta_lactamases	Burkholderiales	0.086868696	
Biofilm	Burkholderiales	0.267244142	
butyrate production I	Burkholderiales	0.589324393	
butyrate production II	Burkholderiales	0.530070688	
butyrate: acetyl-CoA to crotonyl-CoA	Burkholderiales	0.205404377	
Cadaverine	Burkholderiales	NA	
Cytolysin	Burkholderiales	NA	
fosfomycins	Burkholderiales	NA	
glycopeptides	Burkholderiales	NA	
Hemolysin	Burkholderiales	NA	
Inerolysin	Burkholderiales	NA	
lactate production	Burkholderiales	0.00761575	
macrolide_lincosamide_streptogramin	Burkholderiales	NA	
multiple_drug_resistance	Burkholderiales	0.028362919	
N-Acetylputrescine	Burkholderiales	0.226013741	
peptide_antibiotic	Burkholderiales	NA	
phenicols	Burkholderiales	NA	
Phospholipase C	Burkholderiales	0.956013175	
polymyxin	Burkholderiales	NA	
propionate production I	Burkholderiales	NA	
propionate production II	Burkholderiales	0.179407393	
propionate production III	Burkholderiales	0.081004462	
quinolone_antibacterials	Burkholderiales	0.085691223	
rifampicin	Burkholderiales	0.034296565	
Sialidase	Burkholderiales	NA	
succinate production	Burkholderiales	0.105916669	
sulfonamides	Burkholderiales	0.027826652	
tetracyclines	Burkholderiales	0.033324437	
trimethoprim	Burkholderiales	NA	
Trimethylamine	Burkholderiales	NA	
Urease	Burkholderiales	0.485946716	
Vaginolysin	Burkholderiales	NA	
acetate: acetyl-CoA to acetate	Campylobacterales	0.004908111	
aminoglycosides	Campylobacterales	NA	
beta_lactamases	Campylobacterales	NA	
Biofilm	Campylobacterales	0.012630194	
butyrate production I	Campylobacterales	NA	
butyrate production II	Campylobacterales	NA	
butyrate: acetyl-CoA to crotonyl-CoA	Campylobacterales	NA	
Cadaverine	Campylobacterales	NA	
Cytolysin	Campylobacterales	NA	
fosfomycins	Campylobacterales	NA	
glycopeptides	Campylobacterales	NA	
Hemolysin	Campylobacterales	NA	
Inerolysin	Campylobacterales	NA	
lactate production	Campylobacterales	NA	
macrolide_lincosamide_streptogramin	Campylobacterales	NA	
multiple_drug_resistance	Campylobacterales	0.00049801	
N-Acetylputrescine	Campylobacterales	0.004454456	
peptide_antibiotic	Campylobacterales	NA	
phenicols	Campylobacterales	NA	
Phospholipase C	Campylobacterales	NA	
polymyxin	Campylobacterales	NA	
propionate production I	Campylobacterales	NA	
propionate production II	Campylobacterales	NA	
propionate production III	Campylobacterales	NA	
quinolone_antibacterials	Campylobacterales	0.000904588	
rifampicin	Campylobacterales	0.001251528	
Sialidase	Campylobacterales	NA	
succinate production	Campylobacterales	0.011176163	
sulfonamides	Campylobacterales	NA	
tetracyclines	Campylobacterales	NA	
trimethoprim	Campylobacterales	NA	
Trimethylamine	Campylobacterales	NA	
Urease	Campylobacterales	0.107404202	
Vaginolysin	Campylobacterales	NA	
acetate: acetyl-CoA to acetate	Chlamydiales	NA	
aminoglycosides	Chlamydiales	NA	
beta_lactamases	Chlamydiales	NA	
Biofilm	Chlamydiales	0.016274177	
butyrate production I	Chlamydiales	NA	
butyrate production II	Chlamydiales	NA	
butyrate: acetyl-CoA to crotonyl-CoA	Chlamydiales	NA	
Cadaverine	Chlamydiales	NA	
Cytolysin	Chlamydiales	NA	
fosfomycins	Chlamydiales	0.228119883	
glycopeptides	Chlamydiales	NA	
Hemolysin	Chlamydiales	NA	
Inerolysin	Chlamydiales	NA	
lactate production	Chlamydiales	NA	
macrolide_lincosamide_streptogramin	Chlamydiales	NA	
multiple_drug_resistance	Chlamydiales	NA	
N-Acetylputrescine	Chlamydiales	NA	
peptide_antibiotic	Chlamydiales	NA	
phenicols	Chlamydiales	NA	
Phospholipase C	Chlamydiales	NA	
polymyxin	Chlamydiales	NA	
propionate production I	Chlamydiales	NA	
propionate production II	Chlamydiales	NA	
propionate production III	Chlamydiales	NA	
quinolone_antibacterials	Chlamydiales	NA	
rifampicin	Chlamydiales	NA	
Sialidase	Chlamydiales	NA	
succinate production	Chlamydiales	0.028909571	
sulfonamides	Chlamydiales	NA	
tetracyclines	Chlamydiales	NA	
trimethoprim	Chlamydiales	NA	
Trimethylamine	Chlamydiales	NA	
Urease	Chlamydiales	NA	
Vaginolysin	Chlamydiales	NA	
acetate: acetyl-CoA to acetate	Christensenellales	0.000762315	
aminoglycosides	Christensenellales	NA	
beta_lactamases	Christensenellales	NA	
Biofilm	Christensenellales	0.001463295	
butyrate production I	Christensenellales	NA	
butyrate production II	Christensenellales	NA	
butyrate: acetyl-CoA to crotonyl-CoA	Christensenellales	NA	
Cadaverine	Christensenellales	NA	
Cytolysin	Christensenellales	NA	
fosfomycins	Christensenellales	NA	
glycopeptides	Christensenellales	NA	
Hemolysin	Christensenellales	NA	
Inerolysin	Christensenellales	NA	
lactate production	Christensenellales	NA	
macrolide_lincosamide_streptogramin	Christensenellales	NA	
multiple_drug_resistance	Christensenellales	NA	
N-Acetylputrescine	Christensenellales	0.009205132	
peptide_antibiotic	Christensenellales	NA	
phenicols	Christensenellales	NA	
Phospholipase C	Christensenellales	NA	
polymyxin	Christensenellales	NA	
propionate production I	Christensenellales	NA	
propionate production II	Christensenellales	NA	
propionate production III	Christensenellales	0.002532273	
quinolone_antibacterials	Christensenellales	0.000194189	
rifampicin	Christensenellales	NA	
Sialidase	Christensenellales	NA	
succinate production	Christensenellales	0.000875857	
sulfonamides	Christensenellales	NA	
tetracyclines	Christensenellales	NA	
trimethoprim	Christensenellales	NA	
Trimethylamine	Christensenellales	NA	
Urease	Christensenellales	NA	
Vaginolysin	Christensenellales	NA	
acetate: acetyl-CoA to acetate	Clostridiales	0.001563301	
aminoglycosides	Clostridiales	NA	
beta_lactamases	Clostridiales	NA	
Biofilm	Clostridiales	0.002914698	
butyrate production I	Clostridiales	0.032701522	
butyrate production II	Clostridiales	0.012624973	
butyrate: acetyl-CoA to crotonyl-CoA	Clostridiales	0.002440644	
Cadaverine	Clostridiales	NA	
Cytolysin	Clostridiales	0.001038215	
fosfomycins	Clostridiales	NA	
glycopeptides	Clostridiales	NA	
Hemolysin	Clostridiales	0.001121183	
Inerolysin	Clostridiales	0.001038215	
lactate production	Clostridiales	0.000691824	
macrolide_lincosamide_streptogramin	Clostridiales	NA	
multiple_drug_resistance	Clostridiales	NA	
N-Acetylputrescine	Clostridiales	NA	
peptide_antibiotic	Clostridiales	0.002562583	
phenicols	Clostridiales	NA	
Phospholipase C	Clostridiales	0.013962469	
polymyxin	Clostridiales	NA	
propionate production I	Clostridiales	NA	
propionate production II	Clostridiales	0.013101128	
propionate production III	Clostridiales	NA	
quinolone_antibacterials	Clostridiales	NA	
rifampicin	Clostridiales	0.001973981	
Sialidase	Clostridiales	0.007489788	
succinate production	Clostridiales	0.000575299	
sulfonamides	Clostridiales	NA	
tetracyclines	Clostridiales	0.001786891	
trimethoprim	Clostridiales	NA	
Trimethylamine	Clostridiales	NA	
Urease	Clostridiales	NA	
Vaginolysin	Clostridiales	0.001038215	
acetate: acetyl-CoA to acetate	Coriobacteriales	0.233940334	
aminoglycosides	Coriobacteriales	NA	
beta_lactamases	Coriobacteriales	NA	
Biofilm	Coriobacteriales	0.411184671	
butyrate production I	Coriobacteriales	0.085492339	
butyrate production II	Coriobacteriales	NA	
butyrate: acetyl-CoA to crotonyl-CoA	Coriobacteriales	0.00450747	
Cadaverine	Coriobacteriales	NA	
Cytolysin	Coriobacteriales	NA	
fosfomycins	Coriobacteriales	NA	
glycopeptides	Coriobacteriales	NA	
Hemolysin	Coriobacteriales	NA	
Inerolysin	Coriobacteriales	NA	
lactate production	Coriobacteriales	0.125327039	
macrolide_lincosamide_streptogramin	Coriobacteriales	0.039228984	
multiple_drug_resistance	Coriobacteriales	7.77E-05	
N-Acetylputrescine	Coriobacteriales	0.010830898	
peptide_antibiotic	Coriobacteriales	NA	
phenicols	Coriobacteriales	NA	
Phospholipase C	Coriobacteriales	NA	
polymyxin	Coriobacteriales	NA	
propionate production I	Coriobacteriales	NA	
propionate production II	Coriobacteriales	0.004085757	
propionate production III	Coriobacteriales	0.006689171	
quinolone_antibacterials	Coriobacteriales	0.044721513	
rifampicin	Coriobacteriales	NA	
Sialidase	Coriobacteriales	NA	
succinate production	Coriobacteriales	0.354787724	
sulfonamides	Coriobacteriales	NA	
tetracyclines	Coriobacteriales	0.141562026	
trimethoprim	Coriobacteriales	NA	
Trimethylamine	Coriobacteriales	0.841391971	
Urease	Coriobacteriales	0.005251179	
Vaginolysin	Coriobacteriales	NA	
acetate: acetyl-CoA to acetate	Desulfovibrionales	0.000527234	
aminoglycosides	Desulfovibrionales	NA	
beta_lactamases	Desulfovibrionales	NA	
Biofilm	Desulfovibrionales	0.005570341	
butyrate production I	Desulfovibrionales	0.016543209	
butyrate production II	Desulfovibrionales	0.004257856	
butyrate: acetyl-CoA to crotonyl-CoA	Desulfovibrionales	0.001646247	
Cadaverine	Desulfovibrionales	NA	
Cytolysin	Desulfovibrionales	NA	
fosfomycins	Desulfovibrionales	NA	
glycopeptides	Desulfovibrionales	NA	
Hemolysin	Desulfovibrionales	NA	
Inerolysin	Desulfovibrionales	NA	
lactate production	Desulfovibrionales	NA	
macrolide_lincosamide_streptogramin	Desulfovibrionales	NA	
multiple_drug_resistance	Desulfovibrionales	0.000275798	
N-Acetylputrescine	Desulfovibrionales	0.00365733	
peptide_antibiotic	Desulfovibrionales	NA	
phenicols	Desulfovibrionales	NA	
Phospholipase C	Desulfovibrionales	NA	
polymyxin	Desulfovibrionales	NA	
propionate production I	Desulfovibrionales	NA	
propionate production II	Desulfovibrionales	NA	
propionate production III	Desulfovibrionales	NA	
quinolone_antibacterials	Desulfovibrionales	NA	
rifampicin	Desulfovibrionales	NA	
Sialidase	Desulfovibrionales	NA	
succinate production	Desulfovibrionales	0.001940234	
sulfonamides	Desulfovibrionales	NA	
tetracyclines	Desulfovibrionales	NA	
trimethoprim	Desulfovibrionales	NA	
Trimethylamine	Desulfovibrionales	0.072741289	
Urease	Desulfovibrionales	0.01495986	
Vaginolysin	Desulfovibrionales	NA	
acetate: acetyl-CoA to acetate	Enterobacterales	0.187750731	
aminoglycosides	Enterobacterales	0.798657193	
beta_lactamases	Enterobacterales	3.295294462	
Biofilm	Enterobacterales	2.714798431	
butyrate production I	Enterobacterales	0.019155874	
butyrate production II	Enterobacterales	3.008703593	
butyrate: acetyl-CoA to crotonyl-CoA	Enterobacterales	0.820443762	
Cadaverine	Enterobacterales	2.077854681	
Cytolysin	Enterobacterales	NA	
fosfomycins	Enterobacterales	1.417146885	
glycopeptides	Enterobacterales	NA	
Hemolysin	Enterobacterales	NA	
Inerolysin	Enterobacterales	NA	
lactate production	Enterobacterales	0.211801636	
macrolide_lincosamide_streptogramin	Enterobacterales	0.306996854	
multiple_drug_resistance	Enterobacterales	3.955242057	
N-Acetylputrescine	Enterobacterales	1.446556237	
peptide_antibiotic	Enterobacterales	2.19372521	
phenicols	Enterobacterales	0.680140845	
Phospholipase C	Enterobacterales	0.041489483	
polymyxin	Enterobacterales	NA	
propionate production I	Enterobacterales	1.414000411	
propionate production II	Enterobacterales	1.656281145	
propionate production III	Enterobacterales	0.541449153	
quinolone_antibacterials	Enterobacterales	2.377879366	
rifampicin	Enterobacterales	0.406262826	
Sialidase	Enterobacterales	0.000575031	
succinate production	Enterobacterales	0.955432016	
sulfonamides	Enterobacterales	2.055445745	
tetracyclines	Enterobacterales	0.313343463	
trimethoprim	Enterobacterales	0.675151979	
Trimethylamine	Enterobacterales	2.366156136	
Urease	Enterobacterales	2.010446815	
Vaginolysin	Enterobacterales	NA	
acetate: acetyl-CoA to acetate	Enterobacterales_A	0.008359385	
aminoglycosides	Enterobacterales_A	0.003272042	
beta_lactamases	Enterobacterales_A	0.00489006	
Biofilm	Enterobacterales_A	0.041386552	
butyrate production I	Enterobacterales_A	NA	
butyrate production II	Enterobacterales_A	NA	
butyrate: acetyl-CoA to crotonyl-CoA	Enterobacterales_A	NA	
Cadaverine	Enterobacterales_A	NA	
Cytolysin	Enterobacterales_A	NA	
fosfomycins	Enterobacterales_A	NA	
glycopeptides	Enterobacterales_A	NA	
Hemolysin	Enterobacterales_A	NA	
Inerolysin	Enterobacterales_A	NA	
lactate production	Enterobacterales_A	0.001750971	
macrolide_lincosamide_streptogramin	Enterobacterales_A	NA	
multiple_drug_resistance	Enterobacterales_A	0.006885456	
N-Acetylputrescine	Enterobacterales_A	NA	
peptide_antibiotic	Enterobacterales_A	NA	
phenicols	Enterobacterales_A	NA	
Phospholipase C	Enterobacterales_A	NA	
polymyxin	Enterobacterales_A	NA	
propionate production I	Enterobacterales_A	NA	
propionate production II	Enterobacterales_A	NA	
propionate production III	Enterobacterales_A	NA	
quinolone_antibacterials	Enterobacterales_A	0.07952371	
rifampicin	Enterobacterales_A	0.015306189	
Sialidase	Enterobacterales_A	NA	
succinate production	Enterobacterales_A	0.024631133	
sulfonamides	Enterobacterales_A	NA	
tetracyclines	Enterobacterales_A	NA	
trimethoprim	Enterobacterales_A	NA	
Trimethylamine	Enterobacterales_A	NA	
Urease	Enterobacterales_A	0.311958287	
Vaginolysin	Enterobacterales_A	NA	
acetate: acetyl-CoA to acetate	Erysipelotrichales	0.007653586	
aminoglycosides	Erysipelotrichales	NA	
beta_lactamases	Erysipelotrichales	NA	
Biofilm	Erysipelotrichales	0.006185408	
butyrate production I	Erysipelotrichales	NA	
butyrate production II	Erysipelotrichales	NA	
butyrate: acetyl-CoA to crotonyl-CoA	Erysipelotrichales	NA	
Cadaverine	Erysipelotrichales	NA	
Cytolysin	Erysipelotrichales	NA	
fosfomycins	Erysipelotrichales	NA	
glycopeptides	Erysipelotrichales	NA	
Hemolysin	Erysipelotrichales	NA	
Inerolysin	Erysipelotrichales	NA	
lactate production	Erysipelotrichales	0.003250239	
macrolide_lincosamide_streptogramin	Erysipelotrichales	8.04E-05	
multiple_drug_resistance	Erysipelotrichales	NA	
N-Acetylputrescine	Erysipelotrichales	0.036417503	
peptide_antibiotic	Erysipelotrichales	NA	
phenicols	Erysipelotrichales	NA	
Phospholipase C	Erysipelotrichales	NA	
polymyxin	Erysipelotrichales	NA	
propionate production I	Erysipelotrichales	NA	
propionate production II	Erysipelotrichales	NA	
propionate production III	Erysipelotrichales	NA	
quinolone_antibacterials	Erysipelotrichales	NA	
rifampicin	Erysipelotrichales	NA	
Sialidase	Erysipelotrichales	NA	
succinate production	Erysipelotrichales	0.000914148	
sulfonamides	Erysipelotrichales	NA	
tetracyclines	Erysipelotrichales	NA	
trimethoprim	Erysipelotrichales	NA	
Trimethylamine	Erysipelotrichales	0.296274707	
Urease	Erysipelotrichales	NA	
Vaginolysin	Erysipelotrichales	NA	
acetate: acetyl-CoA to acetate	Flavobacteriales	0.00191518	
aminoglycosides	Flavobacteriales	0.001772594	
beta_lactamases	Flavobacteriales	0.003452089	
Biofilm	Flavobacteriales	0.008209383	
butyrate production I	Flavobacteriales	0.03374571	
butyrate production II	Flavobacteriales	0.026056199	
butyrate: acetyl-CoA to crotonyl-CoA	Flavobacteriales	0.003602815	
Cadaverine	Flavobacteriales	NA	
Cytolysin	Flavobacteriales	0.000532694	
fosfomycins	Flavobacteriales	NA	
glycopeptides	Flavobacteriales	NA	
Hemolysin	Flavobacteriales	0.000575264	
Inerolysin	Flavobacteriales	0.000532694	
lactate production	Flavobacteriales	0.001004575	
macrolide_lincosamide_streptogramin	Flavobacteriales	0.001485022	
multiple_drug_resistance	Flavobacteriales	0.000464407	
N-Acetylputrescine	Flavobacteriales	0.024384187	
peptide_antibiotic	Flavobacteriales	NA	
phenicols	Flavobacteriales	NA	
Phospholipase C	Flavobacteriales	0.014525452	
polymyxin	Flavobacteriales	NA	
propionate production I	Flavobacteriales	NA	
propionate production II	Flavobacteriales	NA	
propionate production III	Flavobacteriales	0.028252143	
quinolone_antibacterials	Flavobacteriales	0.00500073	
rifampicin	Flavobacteriales	NA	
Sialidase	Flavobacteriales	0.001280971	
succinate production	Flavobacteriales	0.011005484	
sulfonamides	Flavobacteriales	NA	
tetracyclines	Flavobacteriales	4.54E-05	
trimethoprim	Flavobacteriales	NA	
Trimethylamine	Flavobacteriales	NA	
Urease	Flavobacteriales	0.036493362	
Vaginolysin	Flavobacteriales	0.000532694	
acetate: acetyl-CoA to acetate	Fusobacteriales	0.080038331	
aminoglycosides	Fusobacteriales	NA	
beta_lactamases	Fusobacteriales	NA	
Biofilm	Fusobacteriales	0.070528484	
butyrate production I	Fusobacteriales	0.237869371	
butyrate production II	Fusobacteriales	0.315082397	
butyrate: acetyl-CoA to crotonyl-CoA	Fusobacteriales	0.075961593	
Cadaverine	Fusobacteriales	NA	
Cytolysin	Fusobacteriales	NA	
fosfomycins	Fusobacteriales	NA	
glycopeptides	Fusobacteriales	NA	
Hemolysin	Fusobacteriales	NA	
Inerolysin	Fusobacteriales	NA	
lactate production	Fusobacteriales	0.059336202	
macrolide_lincosamide_streptogramin	Fusobacteriales	0.011931592	
multiple_drug_resistance	Fusobacteriales	NA	
N-Acetylputrescine	Fusobacteriales	0.00766841	
peptide_antibiotic	Fusobacteriales	NA	
phenicols	Fusobacteriales	NA	
Phospholipase C	Fusobacteriales	NA	
polymyxin	Fusobacteriales	NA	
propionate production I	Fusobacteriales	NA	
propionate production II	Fusobacteriales	NA	
propionate production III	Fusobacteriales	NA	
quinolone_antibacterials	Fusobacteriales	NA	
rifampicin	Fusobacteriales	NA	
Sialidase	Fusobacteriales	NA	
succinate production	Fusobacteriales	0.037357846	
sulfonamides	Fusobacteriales	NA	
tetracyclines	Fusobacteriales	NA	
trimethoprim	Fusobacteriales	NA	
Trimethylamine	Fusobacteriales	NA	
Urease	Fusobacteriales	NA	
Vaginolysin	Fusobacteriales	NA	
acetate: acetyl-CoA to acetate	Lachnospirales	0.149724338	
aminoglycosides	Lachnospirales	NA	
beta_lactamases	Lachnospirales	NA	
Biofilm	Lachnospirales	0.387103236	
butyrate production I	Lachnospirales	0.481457347	
butyrate production II	Lachnospirales	0.352829231	
butyrate: acetyl-CoA to crotonyl-CoA	Lachnospirales	0.02976344	
Cadaverine	Lachnospirales	NA	
Cytolysin	Lachnospirales	NA	
fosfomycins	Lachnospirales	NA	
glycopeptides	Lachnospirales	0.05695439	
Hemolysin	Lachnospirales	NA	
Inerolysin	Lachnospirales	NA	
lactate production	Lachnospirales	0.080481768	
macrolide_lincosamide_streptogramin	Lachnospirales	0.00058319	
multiple_drug_resistance	Lachnospirales	NA	
N-Acetylputrescine	Lachnospirales	0.138269981	
peptide_antibiotic	Lachnospirales	NA	
phenicols	Lachnospirales	NA	
Phospholipase C	Lachnospirales	NA	
polymyxin	Lachnospirales	NA	
propionate production I	Lachnospirales	NA	
propionate production II	Lachnospirales	0.277117285	
propionate production III	Lachnospirales	0.010511208	
quinolone_antibacterials	Lachnospirales	NA	
rifampicin	Lachnospirales	NA	
Sialidase	Lachnospirales	0.008644077	
succinate production	Lachnospirales	0.114839013	
sulfonamides	Lachnospirales	NA	
tetracyclines	Lachnospirales	0.003410504	
trimethoprim	Lachnospirales	NA	
Trimethylamine	Lachnospirales	0.268243671	
Urease	Lachnospirales	0.336745024	
Vaginolysin	Lachnospirales	NA	
acetate: acetyl-CoA to acetate	Lactobacillales	5.940185127	
aminoglycosides	Lactobacillales	0.096615724	
