"","Phylum","Family","Genus"
"Dialister","Firmicutes","Clostridium cluster IX","Dialister"
"Dorea formicigenerans et rel.","Firmicutes","Clostridium cluster XIVa","Dorea formicigenerans et rel."
"Eggerthella lenta et rel.","Actinobacteria","Actinobacteria","Eggerthella lenta et rel."
"Enterobacter aerogenes et rel.","Proteobacteria","Proteobacteria","Enterobacter aerogenes et rel."
"Enterococcus","Firmicutes","Bacilli","Enterococcus"
"Escherichia coli et rel.","Proteobacteria","Proteobacteria","Escherichia coli et rel."
"Eubacterium biforme et rel.","Firmicutes","Clostridium cluster XVI","Eubacterium biforme et rel."
"Eubacterium cylindroides et rel.","Firmicutes","Clostridium cluster XVI","Eubacterium cylindroides et rel."
"Eubacterium hallii et rel.","Firmicutes","Clostridium cluster XIVa","Eubacterium hallii et rel."
"Eubacterium limosum et rel.","Firmicutes","Clostridium cluster XV","Eubacterium limosum et rel."
"Eubacterium rectale et rel.","Firmicutes","Clostridium cluster XIVa","Eubacterium rectale et rel."
"Eubacterium siraeum et rel.","Firmicutes","Clostridium cluster IV","Eubacterium siraeum et rel."
"Eubacterium ventriosum et rel.","Firmicutes","Clostridium cluster XIVa","Eubacterium ventriosum et rel."
"Faecalibacterium prausnitzii et rel.","Firmicutes","Clostridium cluster IV","Faecalibacterium prausnitzii et rel."
"Fusobacteria","Fusobacteria","Fusobacteria","Fusobacteria"
"Gemella","Firmicutes","Bacilli","Gemella"
"Granulicatella","Firmicutes","Bacilli","Granulicatella"
"Haemophilus","Proteobacteria","Proteobacteria","Haemophilus"
"Helicobacter","Proteobacteria","Proteobacteria","Helicobacter"
"Klebisiella pneumoniae et rel.","Proteobacteria","Proteobacteria","Klebisiella pneumoniae et rel."
"Lachnobacillus bovis et rel.","Firmicutes","Clostridium cluster XIVa","Lachnobacillus bovis et rel."
"Lachnospira pectinoschiza et rel.","Firmicutes","Clostridium cluster XIVa","Lachnospira pectinoschiza et rel."
"Lactobacillus catenaformis et rel.","Firmicutes","Clostridium cluster XVII","Lactobacillus catenaformis et rel."
"Lactobacillus gasseri et rel.","Firmicutes","Bacilli","Lactobacillus gasseri et rel."
"Lactobacillus plantarum et rel.","Firmicutes","Bacilli","Lactobacillus plantarum et rel."
"Lactobacillus salivarius et rel.","Firmicutes","Bacilli","Lactobacillus salivarius et rel."
"Lactococcus","Firmicutes","Bacilli","Lactococcus"
"Leminorella","Proteobacteria","Proteobacteria","Leminorella"
"Megamonas hypermegale et rel.","Firmicutes","Clostridium cluster IX","Megamonas hypermegale et rel."
"Megasphaera elsdenii et rel.","Firmicutes","Clostridium cluster IX","Megasphaera elsdenii et rel."
"Methylobacterium","Proteobacteria","Proteobacteria","Methylobacterium"
"Micrococcaceae","Actinobacteria","Actinobacteria","Micrococcaceae"
"Mitsuokella multiacida et rel.","Firmicutes","Clostridium cluster IX","Mitsuokella multiacida et rel."
"Moraxellaceae","Proteobacteria","Proteobacteria","Moraxellaceae"
"Novosphingobium","Proteobacteria","Proteobacteria","Novosphingobium"
"Oceanospirillum","Proteobacteria","Proteobacteria","Oceanospirillum"
"Oscillospira guillermondii et rel.","Firmicutes","Clostridium cluster IV","Oscillospira guillermondii et rel."
"Outgrouping clostridium cluster XIVa","Firmicutes","Clostridium cluster XIVa","Outgrouping clostridium cluster XIVa"
"Oxalobacter formigenes et rel.","Proteobacteria","Proteobacteria","Oxalobacter formigenes et rel."
"Papillibacter cinnamivorans et rel.","Firmicutes","Clostridium cluster IV","Papillibacter cinnamivorans et rel."
"Parabacteroides distasonis et rel.","Bacteroidetes","Bacteroidetes","Parabacteroides distasonis et rel."
"Peptococcus niger et rel.","Firmicutes","Clostridium cluster IX","Peptococcus niger et rel."
"Peptostreptococcus anaerobius et rel.","Firmicutes","Clostridium cluster XI","Peptostreptococcus anaerobius et rel."
"Peptostreptococcus micros et rel.","Firmicutes","Clostridium cluster XIII","Peptostreptococcus micros et rel."
"Phascolarctobacterium faecium et rel.","Firmicutes","Clostridium cluster IX","Phascolarctobacterium faecium et rel."
"Prevotella melaninogenica et rel.","Bacteroidetes","Bacteroidetes","Prevotella melaninogenica et rel."
"Prevotella oralis et rel.","Bacteroidetes","Bacteroidetes","Prevotella oralis et rel."
"Prevotella ruminicola et rel.","Bacteroidetes","Bacteroidetes","Prevotella ruminicola et rel."
"Prevotella tannerae et rel.","Bacteroidetes","Bacteroidetes","Prevotella tannerae et rel."
"Propionibacterium","Actinobacteria","Actinobacteria","Propionibacterium"
"Proteus et rel.","Proteobacteria","Proteobacteria","Proteus et rel."
"Pseudomonas","Proteobacteria","Proteobacteria","Pseudomonas"
"Roseburia intestinalis et rel.","Firmicutes","Clostridium cluster XIVa","Roseburia intestinalis et rel."
"Ruminococcus bromii et rel.","Firmicutes","Clostridium cluster IV","Ruminococcus bromii et rel."
"Ruminococcus callidus et rel.","Firmicutes","Clostridium cluster IV","Ruminococcus callidus et rel."
"Ruminococcus gnavus et rel.","Firmicutes","Clostridium cluster XIVa","Ruminococcus gnavus et rel."
"Ruminococcus lactaris et rel.","Firmicutes","Clostridium cluster XIVa","Ruminococcus lactaris et rel."
"Ruminococcus obeum et rel.","Firmicutes","Clostridium cluster XIVa","Ruminococcus obeum et rel."
"Serratia","Proteobacteria","Proteobacteria","Serratia"
"Sporobacter termitidis et rel.","Firmicutes","Clostridium cluster IV","Sporobacter termitidis et rel."
"Staphylococcus","Firmicutes","Bacilli","Staphylococcus"
"Streptococcus bovis et rel.","Firmicutes","Bacilli","Streptococcus bovis et rel."
"Streptococcus intermedius et rel.","Firmicutes","Bacilli","Streptococcus intermedius et rel."
"Streptococcus mitis et rel.","Firmicutes","Bacilli","Streptococcus mitis et rel."
"Subdoligranulum variable at rel.","Firmicutes","Clostridium cluster IV","Subdoligranulum variable at rel."
"Sutterella wadsworthia et rel.","Proteobacteria","Proteobacteria","Sutterella wadsworthia et rel."
"Tannerella et rel.","Bacteroidetes","Bacteroidetes","Tannerella et rel."
"Uncultured Bacteroidetes","Bacteroidetes","Bacteroidetes","Uncultured Bacteroidetes"
"Uncultured Chroococcales","Cyanobacteria","Cyanobacteria","Uncultured Chroococcales"
"Uncultured Clostridiales I","Firmicutes","Uncultured Clostridiales","Uncultured Clostridiales I"
"Uncultured Clostridiales II","Firmicutes","Uncultured Clostridiales","Uncultured Clostridiales II"
"Uncultured Mollicutes","Firmicutes","Uncultured Mollicutes","Uncultured Mollicutes"
"Uncultured Selenomonadaceae","Firmicutes","Clostridium cluster IX","Uncultured Selenomonadaceae"
"Veillonella","Firmicutes","Clostridium cluster IX","Veillonella"
"Vibrio","Proteobacteria","Proteobacteria","Vibrio"
"Weissella et rel.","Firmicutes","Bacilli","Weissella et rel."
"Wissella et rel.","Firmicutes","Bacilli","Wissella et rel."
"Xanthomonadaceae","Proteobacteria","Proteobacteria","Xanthomonadaceae"
"Yersinia et rel.","Proteobacteria","Proteobacteria","Yersinia et rel."
