ID	CHR	BP	P	tissue	BPcum	disease
REG1A	2	79347488	0.103	Plasma	328578268	Urate
PXDN	2	1635659	0.475	Plasma	250866439	Urate
NCK2	2	106361369	0.816	Plasma	355592149	Urate
INHBB	2	121103712	5.01E-17	Plasma	370334492	Urate
FRZB	2	183698002	0.166	Plasma	432928782	Urate
LANCL1	2	211295973	0.455	Plasma	460526753	Urate
IL18R1	2	102927989	0.727	Plasma	352158769	Urate
IL1R2	2	102608422	0.634	Plasma	351839202	Urate
REG3A	2	79384129	0.486	Plasma	328614909	Urate
NRP2	2	206546714	0.392	Plasma	455777494	Urate
CD8A	2	87011733	0.672	Plasma	336242513	Urate
REG3G	2	79252812	0.528	Plasma	328483592	Urate
EPHA4	2	222282747	0.819	Plasma	471513527	Urate
LY75	2	160659866	0.0422	Plasma	409890646	Urate
REG1B	2	79312149	0.11	Plasma	328542929	Urate
DBI	2	120124500	0.0697	Plasma	369355280	Urate
UGT1A1	2	234668916	0.444	Plasma	483899696	Urate
TP53I3	2	24300303	0.378	Plasma	273531083	Urate
CNRIP1	2	68511303	0.578	Plasma	317742083	Urate
HSPC159	2	64681103	0.886	Plasma	313911883	Urate
IDH1	2	209100953	0.519	Plasma	458331733	Urate
SERPINE2	2	224839762	0.755	Plasma	474070542	Urate
STAMBP	2	74056043	0.0134	Plasma	323286823	Urate
MATN3	2	20191813	0.05	Plasma	269422593	Urate
DTYMK	2	242615162	0.265	Plasma	491845942	Urate
IHH	2	219919146	0.913	Plasma	469149926	Urate
PROC	2	128176003	0.0347	Plasma	377406783	Urate
EDAR	2	109510927	0.403	Plasma	358741707	Urate
IL1R1	2	102681004	0.491	Plasma	351911784	Urate
IL1RL2	2	102803466	0.998	Plasma	352034246	Urate
GNLY	2	85912298	0.199	Plasma	335143078	Urate
FN1	2	216225163	0.105	Plasma	465455943	Urate
ACP1	2	264140	0.0356	Plasma	249494920	Urate
NAGK	2	71291474	0.693	Plasma	320522254	Urate
IL1RL1	2	102927962	0.00775	Plasma	352158742	Urate
COLEC11	2	3642422	0.626	Plasma	252873202	Urate
KYNU	2	143635226	0.412	Plasma	392866006	Urate
CAPG	2	85621876	0.553	Plasma	334852656	Urate
TNFAIP6	2	152214106	0.322	Plasma	401444886	Urate
IL1RN	2	113864791	0.768	Plasma	363095571	Urate
HS6ST1	2	128994290	0.96	Plasma	378225070	Urate
VIT	2	36923833	0.256	Plasma	286154613	Urate
GKN2	2	69172364	0.706	Plasma	318403144	Urate
PCYOX1	2	70484518	0.548	Plasma	319715298	Urate
ALPPL2	2	233271554	0.134	Plasma	482502334	Urate
ALPPL2	2	233271554	0.158	Plasma	482502334	Urate
ADAM23	2	207308256	0.766	Plasma	456539036	Urate
ALPP	2	233243434	0.134	Plasma	482474214	Urate
QPCT	2	37569970	0.951	Plasma	286800750	Urate
PLEK	2	68592414	0.84	Plasma	317823194	Urate
UGT1A6	2	234600253	0.529	Plasma	483831033	Urate
B3GNT2	2	62423250	0.706	Plasma	311654030	Urate
LMAN2L	2	97371666	0.163	Plasma	346602446	Urate
UXS1	2	106709764	0.47	Plasma	355940544	Urate
DNAJC10	2	183580982	0.031	Plasma	432811762	Urate
IGFBP2	2	217497551	0.872	Plasma	466728331	Urate
EFEMP1	2	56093102	0.195	Plasma	305323882	Urate
PKDCC	2	42275161	0.311	Plasma	291505941	Urate
GPC1	2	241375080	0.0872	Plasma	490605860	Urate
FAM171B	2	187558787	0.529	Plasma	436789567	Urate
ERLEC1	2	54014181	0.241	Plasma	303244961	Urate
LCT	2	136545420	0.0245	Plasma	385776200	Urate
FKBP7	2	179328391	0.0721	Plasma	428559171	Urate
TRABD2A	2	85048774	0.24	Plasma	334279554	Urate
DNER	2	230222345	0.172	Plasma	479453125	Urate
DUSP28	2	241499471	0.0294	Plasma	490730251	Urate
ARHGAP25	2	68906733	0.472	Plasma	318137513	Urate
ANXA4	2	69871557	0.26	Plasma	319102337	Urate
SLITRK3	3	164904508	0.398	Plasma	657166072	Urate
PROK2	3	71820806	0.0554	Plasma	564082370	Urate
ACAP2	3	194995474	0.336	Plasma	687257038	Urate
CCDC50	3	191046874	0.0109	Plasma	683308438	Urate
NISCH	3	52489134	0.129	Plasma	544750698	Urate
FAM3D	3	58619673	0.278	Plasma	550881237	Urate
FSTL1	3	120111140	0.79	Plasma	612372704	Urate
IL5RA	3	3108008	0.705	Plasma	495369572	Urate
IL1RAP	3	190231840	0.736	Plasma	682493404	Urate
RAB6B	3	133543079	0.136	Plasma	625804643	Urate
KNG1	3	186435137	0.274	Plasma	678696701	Urate
CPB1	3	148508889	0.662	Plasma	640770453	Urate
BCHE	3	165490692	0.0915	Plasma	657752256	Urate
BTD	3	15642848	0.0247	Plasma	507904412	Urate
FAIM	3	138327448	0.905	Plasma	630589012	Urate
CDCP1	3	45123769	0.5	Plasma	537385333	Urate
CADM2	3	85008140	0.134	Plasma	577269704	Urate
CHMP2B	3	87276421	0.168	Plasma	579537985	Urate
EPHB1	3	134514102	0.569	Plasma	626775666	Urate
ACAA1	3	38144620	0.235	Plasma	530406184	Urate
PDCD6IP	3	33840063	0.544	Plasma	526101627	Urate
CPOX	3	98298290	0.611	Plasma	590559854	Urate
RTP4	3	187086173	0.854	Plasma	679347737	Urate
ARF4	3	57557090	0.327	Plasma	549818654	Urate
LRIG1	3	66429221	0.245	Plasma	558690785	Urate
CLSTN2	3	139654027	0.0667	Plasma	631915591	Urate
RBP1	3	139236276	0.614	Plasma	631497840	Urate
PLXND1	3	129274057	0.83	Plasma	621535621	Urate
KNG1	3	186435137	0.563	Plasma	678696701	Urate
PROS1	3	93591895	0.921	Plasma	585853459	Urate
LSAMP	3	115521210	0.749	Plasma	607782774	Urate
CNTN4	3	2140497	0.317	Plasma	494402061	Urate
ACY1	3	52017356	0.242	Plasma	544278920	Urate
FETUB	3	186353758	0.649	Plasma	678615322	Urate
IL17RD	3	57124010	0.574	Plasma	549385574	Urate
ADIPOQ	3	186560493	0.706	Plasma	678822057	Urate
AHSG	3	186330849	0.329	Plasma	678592413	Urate
BOC	3	112929850	0.954	Plasma	605191414	Urate
ITIH4	3	52846978	0.709	Plasma	545108542	Urate
HRG	3	186378005	0.967	Plasma	678639569	Urate
CD86	3	121774209	0.572	Plasma	614035773	Urate
ALCAM	3	105085753	0.0838	Plasma	597347317	Urate
PDIA5	3	122785872	0.481	Plasma	615047436	Urate
SEMA3G	3	52467051	0.433	Plasma	544728615	Urate
CLEC3B	3	45043040	0.488	Plasma	537304604	Urate
ROBO1	3	78646389	0.227	Plasma	570907953	Urate
TDGF1	3	46616024	0.209	Plasma	538877588	Urate
PCOLCE2	3	142534764	0.565	Plasma	634796328	Urate
POMGNT2	3	43120724	0.957	Plasma	535382288	Urate
XXYLT1	3	194789013	0.126	Plasma	687050577	Urate
CPN2	3	194060497	0.637	Plasma	686322061	Urate
TIMP4	3	12194568	0.0183	Plasma	504456132	Urate
POGLUT1	3	119187810	0.419	Plasma	611449374	Urate
LRRC15	3	194075978	0.359	Plasma	686337542	Urate
ST3GAL6	3	98451080	0.00205	Plasma	590712644	Urate
DNAJB11	3	186285192	0.0358	Plasma	678546756	Urate
ITIH3	3	52828784	0.0356	Plasma	545090348	Urate
CRELD1	3	9975477	0.233	Plasma	502237041	Urate
KNG1	3	186435137	0.381	Plasma	678696701	Urate
ITIH1	3	52811611	0.0000153	Plasma	545073175	Urate
HYAL1	3	50337321	0.93	Plasma	542598885	Urate
GRAMD1C	3	113547029	0.338	Plasma	605808593	Urate
RARRES1	3	158414681	0.826	Plasma	650676245	Urate
GRAMD1C	3	113547029	0.493	Plasma	605808593	Urate
CACNA2D3	3	54156574	0.897	Plasma	546418138	Urate
CHL1	3	238446	0.703	Plasma	492500010	Urate
PLXNA1	3	126701536	0.13	Plasma	618963100	Urate
MANF	3	51422722	0.71	Plasma	543684286	Urate
CAMP	3	48264837	0.488	Plasma	540526401	Urate
FHIT	3	59733003	0.161	Plasma	551994567	Urate
TBC1D5	3	17198654	0.0649	Plasma	509460218	Urate
NLGN1	3	173114074	0.425	Plasma	665375638	Urate
CP	3	148880197	0.606	Plasma	641141761	Urate
MST1	3	49721380	0.423	Plasma	541982944	Urate
CD200R1	3	112640052	0.197	Plasma	604901616	Urate
CD200	3	112051194	0.438	Plasma	604312758	Urate
HTN3	4	70894172	0.434591	Plasma	761002328	Urate
HHIP	4	145567308	0.008488	Plasma	835675464	Urate
QDPR	4	17461884	0.045694	Plasma	707570040	Urate
ADH5	4	99992129	0.069065	Plasma	790100285	Urate
ADH7	4	100333418	0.208884	Plasma	790441574	Urate
DAPP1	4	100737984	0.235278	Plasma	790846140	Urate
HPGDS	4	95219686	0.336762	Plasma	785327842	Urate
SPINK2	4	57676026	0.402708	Plasma	747784182	Urate
ARFIP1	4	153701089	0.373095	Plasma	843809245	Urate
FGFR3	4	1795020	0.920251	Plasma	691903176	Urate
LAP3	4	17578821	0.179051	Plasma	707686977	Urate
ANXA5	4	122589101	0.808507	Plasma	812697257	Urate
ADH1C	4	100257654	0.028154	Plasma	790365810	Urate
ENPEP	4	111286889	0.199932	Plasma	801395045	Urate
ANTXR2	4	80822300	0.019482	Plasma	770930456	Urate
ENPP6	4	185009859	0.532263	Plasma	875118015	Urate
GC	4	72607413	0.022049	Plasma	762715569	Urate
LAP3	4	17578821	0.403395	Plasma	707686977	Urate
TLR1	4	38792298	0.345973	Plasma	728900454	Urate
PDE5A	4	120415552	0.333945	Plasma	810523708	Urate
TLR3	4	186990309	0.541582	Plasma	877098465	Urate
BDH2	4	103998749	0.235813	Plasma	794106905	Urate
UBE2K	4	39699729	0.730866	Plasma	729807885	Urate
ADH1A	4	100197526	0.112997	Plasma	790305682	Urate
HADH	4	108910870	0.691519	Plasma	799019026	Urate
UGDH	4	39500375	0.100079	Plasma	729608531	Urate
DCTD	4	183811213	0.462768	Plasma	873919369	Urate
ADH6	4	100123795	0.041449	Plasma	790231951	Urate
SLIT2	4	20253528	0.787868	Plasma	710361684	Urate
KLB	4	39408550	0.048601	Plasma	729516706	Urate
F11	4	187187343	0.751334	Plasma	877295499	Urate
CFI	4	110661850	0.52828	Plasma	800770006	Urate
PF4	4	74846528	0.078303	Plasma	764954684	Urate
CXCL1	4	74735110	0.436126	Plasma	764843266	Urate
FGF2	4	123747863	0.001161	Plasma	813856019	Urate
CXCL11	4	76954835	0.078324	Plasma	767062991	Urate
VEGFC	4	177604689	0.124903	Plasma	867712845	Urate
IDUA	4	980785	0.38758	Plasma	691088941	Urate
NAAA	4	76834813	0.463996	Plasma	766942969	Urate
IGFBP7	4	57896939	0.313062	Plasma	748005095	Urate
IBSP	4	88720706	0.000289	Plasma	778828862	Urate
CXCL6	4	74702357	0.725459	Plasma	764810513	Urate
CASP3	4	185548850	0.562756	Plasma	875657006	Urate
HGFAC	4	3443695	0.07971	Plasma	693551851	Urate
LRPAP1	4	3505339	0.769975	Plasma	693613495	Urate
KDR	4	55944648	0.80798	Plasma	746052804	Urate
EPHA5	4	66185281	0.818718	Plasma	756293437	Urate
CXCL10	4	76942271	0.197496	Plasma	767050427	Urate
SPARCL1	4	88394487	0.144367	Plasma	778502643	Urate
BST1	4	15704688	0.968487	Plasma	705812844	Urate
AFM	4	74347462	0.769336	Plasma	764455618	Urate
FGG	4	155525286	0.952697	Plasma	845633442	Urate
UNC5C	4	96083655	0.385484	Plasma	786191811	Urate
PPID	4	159630279	0.728973	Plasma	849738435	Urate
PDE5A	4	120415552	0.170888	Plasma	810523708	Urate
EGF	4	110834039	0.012676	Plasma	800942195	Urate
SOD3	4	24791534	0.420003	Plasma	714899690	Urate
PF4V1	4	74719013	0.989695	Plasma	764827169	Urate
NPNT	4	106815932	0.122892	Plasma	796924088	Urate
MANBA	4	103551927	0.369378	Plasma	793660083	Urate
TLL1	4	166794389	0.425133	Plasma	856902545	Urate
ART3	4	76932337	0.032005	Plasma	767040493	Urate
PSAPL1	4	7432012	0.432909	Plasma	697540168	Urate
PCDH10	4	134070449	0.973182	Plasma	824178605	Urate
STX18	4	4417469	0.436611	Plasma	694525625	Urate
MAN2B2	4	6576916	0.004805	Plasma	696685072	Urate
CTSO	4	156842732	0.533802	Plasma	846950888	Urate
NUDT9	4	88343725	0.659817	Plasma	778451881	Urate
SPOCK3	4	167654535	0.462986	Plasma	857762691	Urate
FABP2	4	120238405	0.27845	Plasma	810346561	Urate
KLKB1	4	187130133	0.034347	Plasma	877238289	Urate
SPON2	4	1160720	0.106007	Plasma	691268876	Urate
SPINK7	5	147691982	0.988	Plasma	1028762635	Urate
CLINT1	5	157212751	0.00655	Plasma	1038283404	Urate
TNFAIP8	5	118604387	0.781	Plasma	999675040	Urate
CCT5	5	10250041	0.456	Plasma	891320694	Urate
SEMA5A	5	9035145	0.443	Plasma	890105798	Urate
PCSK1	5	95726037	0.00594	Plasma	976796690	Urate
CSF1R	5	149432854	0.499	Plasma	1030503507	Urate
IL12B	5	158741788	0.354	Plasma	1039812441	Urate
NUDT12	5	102884556	0.847	Plasma	983955209	Urate
GM2A	5	150591711	0.0402	Plasma	1031662364	Urate
MAPK9	5	179660143	0.146	Plasma	1060730796	Urate
PACAP	5	138723156	0.737	Plasma	1019793809	Urate
LECT2	5	135257968	0.288	Plasma	1016328621	Urate
CD14	5	140011313	0.266	Plasma	1021081966	Urate
HARS	5	140052620	0.888	Plasma	1021123273	Urate
TARS	5	33440802	0.894	Plasma	914511455	Urate
THG1L	5	157158428	0.0277	Plasma	1038229081	Urate
GLRX	5	95087023	0.221	Plasma	976157676	Urate
PPIC	5	122358945	0.313	Plasma	1003429598	Urate
UBLCP1	5	158690298	0.681	Plasma	1039760951	Urate
PDCD6	5	271736	0.037	Plasma	881342389	Urate
HK3	5	176307870	0.192	Plasma	1057378523	Urate
EFNA5	5	106712595	0.338	Plasma	987783248	Urate
IL6ST	5	55230923	0.107	Plasma	936301576	Urate
C7	5	40909599	0.0000835	Plasma	921980252	Urate
GHR	5	42423541	0.0843	Plasma	923494194	Urate
SPARC	5	151040657	0.882	Plasma	1032111310	Urate
C9	5	39284242	0.878	Plasma	920354895	Urate
HAPLN1	5	82933624	0.473	Plasma	964004277	Urate
TGFBI	5	135364677	0.314	Plasma	1016435330	Urate
RGMB	5	98104354	0.558	Plasma	979175007	Urate
THBS4	5	79287134	0.733	Plasma	960357787	Urate
PDGFRB	5	149493402	0.215	Plasma	1030564055	Urate
IL17B	5	148750887	0.423	Plasma	1029821540	Urate
ESM1	5	54273695	0.962	Plasma	935344348	Urate
C6	5	41142218	0.135	Plasma	922212871	Urate
FST	5	52776456	0.025	Plasma	933847109	Urate
FER	5	108083542	0.99	Plasma	989154195	Urate
ERAP1	5	96096514	0.106	Plasma	977167167	Urate
IL7R	5	35852797	0.288	Plasma	916923450	Urate
HAVCR2	5	156512843	0.732	Plasma	1037583496	Urate
PAM	5	102089685	0.024	Plasma	983160338	Urate
SPINK6	5	147582357	0.346	Plasma	1028653010	Urate
LIFR	5	38474770	0.851	Plasma	919545423	Urate
HINT1	5	130491076	0.00895	Plasma	1011561729	Urate
CRHBP	5	76248870	0.208	Plasma	957319523	Urate
SCGB3A1	5	180017105	0.0498	Plasma	1061087758	Urate
TXNDC15	5	134210061	0.558	Plasma	1015280714	Urate
NDST1	5	149865381	0.741	Plasma	1030936034	Urate
MGAT4B	5	179224597	0.662	Plasma	1060295250	Urate
C1QTNF3	5	34017963	0.802	Plasma	915088616	Urate
B4GALT7	5	177027133	0.314	Plasma	1058097786	Urate
SPINK1	5	147204135	0.624	Plasma	1028274788	Urate
ARSK	5	94890805	0.854	Plasma	975961458	Urate
ERAP2	5	96211690	0.0797	Plasma	977282343	Urate
CD14	5	140011313	0.557	Plasma	1021081966	Urate
HAVCR1	5	156456424	0.506	Plasma	1037527077	Urate
EDIL3	5	83236373	0.532	Plasma	964307026	Urate
LMAN2	5	176758568	0.00136	Plasma	1057829221	Urate
GZMK	5	54320084	0.207	Plasma	935390737	Urate
FAF2	5	175874629	0.00288	Plasma	1056945282	Urate
HEXB	5	73935848	0.261	Plasma	955006501	Urate
SRA1	5	139916925	0.0925	Plasma	1020987578	Urate
SEMA6A	5	115779251	0.01	Plasma	996849904	Urate
HNRNPAB	5	177631534	0.0115	Plasma	1058702187	Urate
APOM	6	31620193	0.06526	Plasma	1093424349	Urate
TXNDC5	6	7881750	0.70171	Plasma	1069685906	Urate
COL11A2	6	33130458	0.31116	Plasma	1094934614	Urate
ATF6B	6	32083041	0.03132	Plasma	1093887197	Urate
SMAP1	6	71377479	0.53561	Plasma	1133181635	Urate
