"name","size","shortName"
"flare.util.heap.FibonacciHeap",9354,"FibonacciHeap"
"flare.util.heap.HeapNode",1233,"HeapNode"
"flare.util.IEvaluable",335,"IEvaluable"
"flare.util.IPredicate",383,"IPredicate"
"flare.util.IValueProxy",874,"IValueProxy"
"flare.util.math.DenseMatrix",3165,"DenseMatrix"
"flare.util.math.IMatrix",2815,"IMatrix"
"flare.util.math.SparseMatrix",3366,"SparseMatrix"
"flare.util.Maths",17705,"Maths"
"flare.util.Orientation",1486,"Orientation"
"flare.util.palette.ColorPalette",6367,"ColorPalette"
"flare.util.palette.Palette",1229,"Palette"
"flare.util.palette.ShapePalette",2059,"ShapePalette"
"flare.util.palette.SizePalette",2291,"SizePalette"
"flare.util.Property",5559,"Property"
"flare.util.Shapes",19118,"Shapes"
"flare.util.Sort",6887,"Sort"
"flare.util.Stats",6557,"Stats"
"flare.util.Strings",22026,"Strings"
"flare.vis.axis.Axes",1302,"Axes"
"flare.vis.axis.Axis",24593,"Axis"
"flare.vis.axis.AxisGridLine",652,"AxisGridLine"
"flare.vis.axis.AxisLabel",636,"AxisLabel"
"flare.vis.axis.CartesianAxes",6703,"CartesianAxes"
"flare.vis.controls.AnchorControl",2138,"AnchorControl"
"flare.vis.controls.ClickControl",3824,"ClickControl"
"flare.vis.controls.Control",1353,"Control"
"flare.vis.controls.ControlList",4665,"ControlList"
"flare.vis.controls.DragControl",2649,"DragControl"
"flare.vis.controls.ExpandControl",2832,"ExpandControl"
"flare.vis.controls.HoverControl",4896,"HoverControl"
"flare.vis.controls.IControl",763,"IControl"
"flare.vis.controls.PanZoomControl",5222,"PanZoomControl"
"flare.vis.controls.SelectionControl",7862,"SelectionControl"
"flare.vis.controls.TooltipControl",8435,"TooltipControl"
"flare.vis.data.Data",20544,"Data"
"flare.vis.data.DataList",19788,"DataList"
"flare.vis.data.DataSprite",10349,"DataSprite"
"flare.vis.data.EdgeSprite",3301,"EdgeSprite"
"flare.vis.data.NodeSprite",19382,"NodeSprite"
"flare.vis.data.render.ArrowType",698,"ArrowType"
"flare.vis.data.render.EdgeRenderer",5569,"EdgeRenderer"
"flare.vis.data.render.IRenderer",353,"IRenderer"
"flare.vis.data.render.ShapeRenderer",2247,"ShapeRenderer"
"flare.vis.data.ScaleBinding",11275,"ScaleBinding"
"flare.vis.data.Tree",7147,"Tree"
"flare.vis.data.TreeBuilder",9930,"TreeBuilder"
"flare.vis.events.DataEvent",2313,"DataEvent"
"flare.vis.events.SelectionEvent",1880,"SelectionEvent"
"flare.vis.events.TooltipEvent",1701,"TooltipEvent"
"flare.vis.events.VisualizationEvent",1117,"VisualizationEvent"
"flare.vis.legend.Legend",20859,"Legend"
"flare.vis.legend.LegendItem",4614,"LegendItem"
"flare.vis.legend.LegendRange",10530,"LegendRange"
"flare.vis.operator.distortion.BifocalDistortion",4461,"BifocalDistortion"
"flare.vis.operator.distortion.Distortion",6314,"Distortion"
"flare.vis.operator.distortion.FisheyeDistortion",3444,"FisheyeDistortion"
"flare.vis.operator.encoder.ColorEncoder",3179,"ColorEncoder"
"flare.vis.operator.encoder.Encoder",4060,"Encoder"
"flare.vis.operator.encoder.PropertyEncoder",4138,"PropertyEncoder"
"flare.vis.operator.encoder.ShapeEncoder",1690,"ShapeEncoder"
"flare.vis.operator.encoder.SizeEncoder",1830,"SizeEncoder"
"flare.vis.operator.filter.FisheyeTreeFilter",5219,"FisheyeTreeFilter"
"flare.vis.operator.filter.GraphDistanceFilter",3165,"GraphDistanceFilter"
"flare.vis.operator.filter.VisibilityFilter",3509,"VisibilityFilter"
"flare.vis.operator.IOperator",1286,"IOperator"
"flare.vis.operator.label.Labeler",9956,"Labeler"
"flare.vis.operator.label.RadialLabeler",3899,"RadialLabeler"
"flare.vis.operator.label.StackedAreaLabeler",3202,"StackedAreaLabeler"
"flare.vis.operator.layout.AxisLayout",6725,"AxisLayout"
"flare.vis.operator.layout.BundledEdgeRouter",3727,"BundledEdgeRouter"
"flare.vis.operator.layout.CircleLayout",9317,"CircleLayout"
"flare.vis.operator.layout.CirclePackingLayout",12003,"CirclePackingLayout"
"flare.vis.operator.layout.DendrogramLayout",4853,"DendrogramLayout"
"flare.vis.operator.layout.ForceDirectedLayout",8411,"ForceDirectedLayout"
"flare.vis.operator.layout.IcicleTreeLayout",4864,"IcicleTreeLayout"
"flare.vis.operator.layout.IndentedTreeLayout",3174,"IndentedTreeLayout"
"flare.vis.operator.layout.Layout",7881,"Layout"
"flare.vis.operator.layout.NodeLinkTreeLayout",12870,"NodeLinkTreeLayout"
"flare.vis.operator.layout.PieLayout",2728,"PieLayout"
"flare.vis.operator.layout.RadialTreeLayout",12348,"RadialTreeLayout"
"flare.vis.operator.layout.RandomLayout",870,"RandomLayout"
"flare.vis.operator.layout.StackedAreaLayout",9121,"StackedAreaLayout"
"flare.vis.operator.layout.TreeMapLayout",9191,"TreeMapLayout"
"flare.vis.operator.Operator",2490,"Operator"
"flare.vis.operator.OperatorList",5248,"OperatorList"
"flare.vis.operator.OperatorSequence",4190,"OperatorSequence"
"flare.vis.operator.OperatorSwitch",2581,"OperatorSwitch"
"flare.vis.operator.SortOperator",2023,"SortOperator"
"flare.vis.Visualization",16540,"Visualization"
"flare.analytics.cluster",0,"cluster"
"flare.analytics.graph",0,"graph"
"flare.analytics.optimization",0,"optimization"
"flare.animate",0,"animate"
"flare.animate.interpolate",0,"interpolate"
"flare.data.converters",0,"converters"
"flare.data",0,"data"
"flare.display",0,"display"
"flare.flex",0,"flex"
"flare.physics",0,"physics"
"flare.query",0,"query"
"flare.query.methods",0,"methods"
"flare.scale",0,"scale"
"flare.util",0,"util"
"flare.util.heap",0,"heap"
"flare.util.math",0,"math"
"flare.util.palette",0,"palette"
"flare.vis.axis",0,"axis"
"flare.vis.controls",0,"controls"
"flare.vis.data",0,"data"
"flare.vis.data.render",0,"render"
"flare.vis.events",0,"events"
"flare.vis.legend",0,"legend"
"flare.vis.operator.distortion",0,"distortion"
"flare.vis.operator.encoder",0,"encoder"
"flare.vis.operator.filter",0,"filter"
"flare.vis.operator",0,"operator"
"flare.vis.operator.label",0,"label"
"flare.vis.operator.layout",0,"layout"
"flare.vis",0,"vis"
"flare.analytics",0,"analytics"
"flare",0,"flare"
