,Healthy01,Healthy02,Healthy03,Healthy04,Healthy05,Healthy06,Healthy07,Healthy08,Healthy09,Healthy10,Patients01,Patients02,Patients03,Patients04,Patients05,Patients06,Patients07,Patients08,Patients09,Patients10
Species57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Species58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Species59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Species60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Species61,0,2.59553,0,0,0,0,0,0,0,0.16166,0,8.4476,0,0,0,0,0,0,0,0
Species62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Species63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Species64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Species65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Species66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Species67,0.0074,0.38695,0,0,0,0,0.24733,0,0,0,0.03988,0,0,0.31362,0.0383,0.58596,0,0,0,0
Species68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Species69,1.37013,0.69005,0,0.06111,0.18906,0,0,0,0,0.14226,0,0.00383,0.03397,0.08964,0,0,2.39766,0,0,0
Species70,0,0.15097,0,0,0.03845,0,0.10066,0.0073,0,0.02678,0,0,0,0,0,0.4914,0,0,0.00619,0
Species71,0.21381,0.05633,0,0,0.04809,0,0.15039,0.00434,0.06869,0,0,0.47634,0,0.0465,0,0.08082,0,0,0,0
Species72,0,0.92295,0,0,0.02955,0,0.97534,0.05121,0.18005,0.19463,0.02184,0.99377,0,2.90622,0,0.09162,0,0.01896,0.03185,0
Species73,0.13715,0,0,0,0,0,0,0,0.01768,0,0.00387,0,0.00072,0,0,0,0,0,0,0
Species74,8.3508,3.26824,0,12.74272,2.62584,3.9979,0,0.01796,5.62211,1.74067,1.68038,5.07673,0,9.6298,0.00962,0.08072,3.27889,0.06008,0.01023,0
Species75,0.06609,0.0241,0,0,0,0,0.27593,0.10054,0,0,0,0,0,0,0,0.10063,0.01655,0,0,0
Species76,0,0,0,0,0,0,0,0,0.00048,0.00432,0,0,0.0139,0,0,0,0,0,0,0
Species77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Species78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Species79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Species80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Species81,0,0,0.57256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Species82,2.37803,0.25264,0,0,0.40833,0,0.17066,0.17407,0.18393,0.13596,0.22652,0.1273,0.10397,2.72542,2.60569,2.71224,0.7151,0.01536,0,0
Species83,0.54146,0.24616,0,0,0.04288,0.01002,0.16101,0.07063,0.10319,0,0.04591,0.05113,0.09894,0.1125,2.29311,0.71267,0.06293,0,0,0
Species84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Species85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Species86,0,0,0,0,0,0,0,0,0,0,0.01353,0,0,0,0.01599,0,0,0,0,0
Species87,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00489,0,0,0,0,0,0
Species88,0,0,0,0,0,0.17021,0,0.01512,0,0,0,0,0,0.00466,0,0.09799,0,0,0,0
Species89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Species90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Species91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Species92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Species93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Species94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Species95,0,0,0.02885,0.09756,0,0.35795,0,0,0,0,0,0,0,0,0.01985,0,0,0,0,0
Species96,0,0,0,0,0,0.05209,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Species97,0,0,0,0.22358,0.0744,0.02823,0,0.00935,0.00503,0.0875,0,0,0.08635,0,0.08143,0.06761,0.01308,0.12208,0,0
Species98,0.42902,0,0,0,0.06716,0,0.0955,0.01279,0.00703,0,0.00449,0,1.21608,0,0,0.01429,0,0,0,0
Species99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Species100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
