A	B	C	D
Fibroporia	0	0	1	0
Dothidea	1	1	1	0
Entomocorticium	1	1	1	1
Eutypella	0	0	1	0
Guehomyces	1	1	1	1
Irpex	1	0	0	1
Lacrymaria	0	1	1	0
Lepidosphaeria	0	0	1	1
Hyphodontia	1	0	1	0
Hyalorbilia	1	1	0	0
Hymenochaete	0	1	0	0
Hyphodermella	1	0	1	1
Dictyophora	1	0	1	1
Ascobolus	1	1	1	1
Boletus	1	1	1	1
Bulleromyces	1	1	1	1
Artomyces	1	0	0	1
Agrocybe	1	0	0	0
Amphinema	0	0	1	0
Arachnomyces	0	1	1	0
Byssomerulius	0	0	1	0
Clonostachys	1	1	0	1
Daedaleopsis	1	1	0	0
Datronia	1	0	1	1
Cinereomyces	0	1	1	0
Ceratocystis	0	0	1	0
Cercospora	1	1	1	1
Ceriporia	1	0	0	0
Meira	1	1	0	0
Monascus	1	1	1	1
Mycoacia	0	0	1	0
Perenniporia	1	0	0	0
Paracamarosporium	1	1	1	1
Microascus	1	1	1	1
Oxyporus	0	1	0	1
Merulius	1	0	0	1
Melanconiella	0	0	1	1
Melanohalea	1	0	1	0
Madurella	1	1	1	1
Ochroconis	1	0	0	0
Macrophomina	1	0	1	0
Massarina	1	1	1	0
Phaeophlebiopsis	0	1	1	1
Lodderomyces	1	1	1	1
Calloria	0	1	0	0
Pleurotus	1	0	0	0
Calycina	0	0	0	1
Tumularia	0	1	0	0
Ophiocordyceps	0	0	1	1
Ceratobasidium	1	0	0	0
Phallus	1	1	1	0
Amyloxenasma	0	0	0	1
Actinomucor	0	1	0	0
Phialemoniopsis	0	1	0	0
Antrodiella	0	1	0	0
Pilatoporus	1	1	1	0
Ulocladium	1	0	1	1
Phyllosticta	1	0	0	0
Botryosphaeria	1	1	0	0
Rhodosporidium	0	1	0	0
Megacollybia	1	1	1	1
Hanseniaspora	1	1	0	0
Gloeophyllum	0	0	0	1
Rhizophlyctis	1	1	1	0
Scutellinia	1	1	0	0
Schizothecium	1	1	1	0
Serpula	0	1	0	0
Saccharomyces	1	1	1	1
Kluyveromyces	1	0	0	1
Corticium	0	1	1	0
Cryptodiaporthe	1	0	0	0
Powellomyces	1	1	0	0
Myrothecium	1	1	0	0
Clitocybe	0	1	0	0
Microdochium	1	1	0	0
Remersonia	1	1	0	0
Didymella	1	1	1	1
Cylindrobasidium	1	0	0	1
Pseudotaeniolina	0	0	0	1
