"","A001F","A002F","A003F","A004F","A005F","A006F","A007F","A008F","A009F","A010F","A011F","A012F","A013F","A014F","A015F","A016F","A017F","A018F","A019F","A020F","B347477A","B348452C","B348676C","B348741C","B348867B","B349202C","B349441C","B350402B","B350638C","B350819D","B350890B","B350951C","B351263B","B351443D","B351788D","B352277C","B352458C","B352738D","B352756B","B353024B"
"Acinetobacter_schindleri",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acinetobacter_SGB14792",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acinetobacter_SGB65105",0,0,0,0,0,0,0,0,0,0,0.0255581044336752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acinetobacter_soli",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00699797115214076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acinetobacter_towneri",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Actinobaculum_sp_oral_taxon_183",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00935325469610114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Actinomyces_bouchesdurhonensis",0,0,0,0,0.000509049239385394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0247506313823056,0,0,0,0,0.0478264870301475,0,0.0652380356112192,0,0,0,0,0,0,0.016121014694823,0,0,0,0,0
"Actinomyces_dentalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00465020572461526,0,0,0,0.000368784946461592,0.0127217428085015,0.0855136281675255,0,0,0,0,0,0,0,0,0,0,0
"Actinomyces_gerencseriae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0368337515839045,0,0,0,0,0,0,0,0,0,0,0
"Actinomyces_graevenitzii",0,0,0,0,0.00934750918475398,0,0,0,0,0,0,0.00375454145568551,0,0.00852976557266365,0.000263193851716224,0.0126573706291136,0,0,0,0,0,0.00140567692128457,0,0,0,0.00221659812479423,0,0.0258200903480035,0.019789072186753,0,0,0,0,0,0,0,0,0,0.00157990027985327,0.00112738493080473
"Actinomyces_johnsonii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Actinomyces_massiliensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0162954619647447,0,0,0,0,0,0,0,0,0,0,0
"Actinomyces_naeslundii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00829638975868858,0,0,0,0,0,0.122065776146048,0,0,0,0,0,0,0,0.0288747803041635,0,0,0
"Actinomyces_oricola",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Actinomyces_oris",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000660540585882849,0,0,0,0,0.0182092978519227,0.0759954263056297,0.00446182002643672,0,0,0.00431882082932364,0,0,0,0.0262111699171678,0,0,0.00840786733398359
"Actinomyces_SGB17132",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0721984973527559,0.0649377914009815,0,0,0,0,0,0,0,0,0,0,0.00101827829780794
"Actinomyces_SGB17154",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00172056357655963,0,0,0,0,0,0,0,0,0,0,0,0
"Actinomyces_SGB17157",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00489827783086419,0,0,0,0,0,0,0,0,0,0,0,0.0242964432326299,0.135582749204362,0,0,0,0,0,0,0,0,0,0,0
"Actinomyces_SGB17163",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0424927065120029,0.093886642034203,0,0,0,0.223597712022004,0,0,0,0,0,0.00408444718787148,0.0113212746860452
"Actinomyces_SGB17168",0,0,0,0.014788552913774,0,0,0,0,0,0,0,0,0,0.0272772863374287,0,0.00158180504721013,0,0.00797183507788887,0,0,0,0.0234639144765633,0,0,0,0.0348521524172123,0,0.339008599037889,0.0752071125405231,0,0,0.0261578181119303,0.0107980624010354,0.00310082628450113,0,0,0,0,0,0.0352567132501274
"Actinomyces_sp_HMSC035G02",0,0,0,0,0.0118035792382488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00432628909394846,0,0,0,0,0,0,0.0745283240458505,0,0,0,0,0,0,0.00872607930204857
"Actinomyces_sp_HMT897",0,0,0,0,0,0,0,0,0,0,0,0,0,0.00195452312084893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0907890023750062,0,0,0,0,0,0,0,0,0,0,0
"Actinomyces_sp_ICM47",0,0,0.00167034036609869,0.00722766340650314,0,0,0,0,0.00274757861998414,0,0,0.0149871875130383,0,0.0412165759650553,0.00510744029634307,0.00209875516963186,0,0.0118567398932115,0.000288886616182324,0,0.00126755859614379,0.0283233361174455,0.104414032618032,0,0,0.017081880892521,0.000273267392093401,0.270715173383394,0.601337629540194,0,0,0.0284125994682659,0,0,0.00576455356842132,0,0,0,0.0207882955578835,0.0743519066046176
"Actinomyces_sp_ICM58",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00109137143106845,0,0,0,0,0,0,0.00731455067833346,0,0,0,0.0148185681162323,0,0.171884385053828,0.169248810934835,0,0,0,0.00510355322437619,0,0.00580994058882376,0,0,0,0,0.00972215869015967
"Actinomyces_sp_Marseille_P3109",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00155820661644448,0,0,0,0,0,0,0,0,0,0,0
"Actinomyces_sp_oral_taxon_170",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Actinomyces_sp_oral_taxon_414",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00335554617628487,0,0,0,0,0,0.0882733435002645,0,0,0,0,0,0,0,0,0,0,0
"Actinomyces_sp_oral_taxon_448",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0480609330288361,0,0,0,0,0,0.00268462103797061,0,0,0,0,0,0,0,0,0,0,0.000714209083879178
"Actinomyces_sp_ph3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003793060611961,0,0,0,0,0,0,0,0,0,0,0.00134344951654051,0
"Actinomyces_timonensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Actinomyces_urogenitalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Adlercreutzia_equolifaciens",0,0.0331889087311133,0,0,0.0758695470533982,0,0.00234638424682757,0,0,0,0,0.0102035576893673,0.0128569594897268,0,0,0,0,0,0,0,0,0,0.948549492139489,0,0,0.171928919119635,0,0,0,0,0.278644117546138,0.0577952735646351,0.0482459424207924,0,0.0562011195602697,0.00658394278551028,0,0,0.147995841372456,0
"Aerococcus_christensenii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aeromonas_allosaccharophila",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aeromonas_caviae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aeromonas_dhakensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aeromonas_hydrophila",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aeromonas_veronii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Agathobaculum_butyriciproducens",0.0633557116299635,0.125057155791611,0,1.85090320945093,0.351361416088061,0.518987046998435,0,0.047224579944589,0.573434564539286,0.853327381886856,0.308869432079029,0.140744201372692,0.138719797122834,1.5634150270869,0.101165927880264,0.0332657273598849,0.295128442996124,0.581819104313861,0.754879575015896,0.149749753670445,0.019161310314561,0.134481956370195,0.67062587825781,0.0677618065578507,0,0.144899515443396,0.0418604166099723,2.40067174628152,0.227346640228371,0,0.0671760867376122,0.217186304509512,0.0218984184732552,0,0.0159704815676121,0,0.0445416491934425,0,0.0621139141540268,0.49100582113841
"Agathobaculum_sp_Marseille_P7918",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aggregatibacter_aphrophilus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aggregatibacter_kilianii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aggregatibacter_segnis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aggregatibacter_sp_2125159857",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Akkermansia_glycaniphila",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Akkermansia_muciniphila",0,2.88395727974986,0,0,0,0,0,0,0,0.178455068736545,0,0,0,0,0,0,0,0,0,0,0,4.54614486217209,0,0,0,0,0,0,0,0,0.330303652230258,0,0,0,0,0,0,0,0,0
"Akkermansia_sp_KLE1798",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alcanivorax_marinus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aliarcobacter_butzleri",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aliarcobacter_cryaerophilus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alicycliphilus_SGB61891",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alistipes_communis",0.0171596045472972,0.612510139406938,0,0,0,0,0.219394660350539,0,0,0,0.321716093865847,0,0.0384289561609801,0,0,0.00206950342108366,0,0,0.141060958017597,0,0.0490959427312399,0,0,0.24217519794855,0.0174362733268634,0.336959352531593,0,0,0,0,0,0,0.79600208392872,0,0.674794676337227,0,0,0,0.0108584016899454,0
"Alistipes_dispar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alistipes_finegoldii",2.71478618500158,1.12115889083088,0,0.065676223510561,0.223232100397236,0,0,0,0,0.190114289220717,0.200687149853207,0.33378563086902,0.109056679305858,0,0,0.0105654121237614,0.869647651800203,0,1.68433057384531,0,0,0.00573973741362912,0.144922529771824,0.292167760645274,0,0,0.27497768761494,0,0,0,0,0,0.0200905650576698,0,0,0.00509922288094283,0,0.57369411552154,0.866296277601402,0
"Alistipes_ihumii",0,0.167777878084972,0,0,0.0408087806907292,0,0.0703147112538891,0.00180637494720512,0,0.02958983482483,0.0478521314273494,0,0,0,0,0.00122787018401717,0,0,0,0,0,0,0,0,0,0.448537605366897,0,0,0.0116771628364876,0,0,0,0.770686570056355,0.119072906317119,0.27509526521284,0,0,0.7031427244329,1.48623385576155,0
"Alistipes_indistinctus",0.14070251906416,0.0291868870033777,0,0,0.0232212343646124,0,0.0489012767476881,0.000477600389706278,0.0319375309096068,0,0.0593784568779933,0.0721489348832531,0,0,0,0,0.0178095564766215,0,0,0,0,0.156093373952921,0,0.0182908040072878,0,0.207248475957224,0,0,0,0,0,1.15441325842339,0.0427563379258881,0.296273395075913,0.0793046501892774,0.0307398524823851,0,0,0.144628289050928,0
"Alistipes_onderdonkii",0,0.320443723830674,0,0,0.00848844960018867,0,0.248385391702492,0.00309290475851148,0.0575375938529496,0.0610804956252221,0.148020389526595,0.149530814734061,0.353369878945699,0,0.0442160320795026,0.0612559458209,0,0.0271041881989052,0,1.02023934670031,0.0324244788338582,0.990426860405075,0,5.12475717565109,0,0.19981383891143,0,0.0700559109810372,0.137445866472273,0,0,9.72388531123396,0.225949593955361,3.75063788684686,0.0726770063454747,2.76795753632889,0.0107316975150211,3.94907017501143,12.4606571225036,0
"Alistipes_provencensis",0.168026369202721,0,0,0,0,0,0,0,0.0170992231106274,0,0.00666324356658496,0,0.0168294037957593,0,0,0,0,0,0.0451063963513554,0,0.0656095365380108,0,0.0120822905120732,0,0,0,0,0,0,0,0,0,0,0.00552908870859593,0,0.00963780010845967,0,0,0.0308758746908404,0
"Alistipes_putredinis",4.29146157930967,1.26154270656594,0,4.62275726851338,0.961528550900564,1.10748104533417,0,0.00119198416991797,2.04348521859438,0.623415771549552,1.75786813042561,2.23073082253133,0.00563025922237531,0,0,0.359650585729334,0,0.107284280258246,3.61829872038276,3.30548468491463,2.80980791355453,3.87695353288809,0,10.7824083842748,0.00464605013685504,0.200634135138408,4.51182767767992,0.23098132492696,0.0565982397780932,0,0,19.3011922685983,0.938822452718318,5.05079938794198,2.54623008890855,18.9574536405097,0.020410866753935,0,31.5313740231172,0
"Alistipes_senegalensis",0.0928098436993901,0.0268111271403336,0,0,0,0,0.192710772843612,0.0247840557217488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0918743164972261,0.0107271130040933,0,0,0,0,0.0436297653380089,0,0,0,0,0,0,0,0
"Alistipes_SGB2300",0,0,0,0,0,0,0,0,0.000517421100616142,0.00480103623603173,0.00662897580478952,0,0,0,0,0,0,0,0,0,0,0,0.0184026607226962,0,0,0,0,0,0,0,0,0,0.0968231218373442,0,0,0.0353039879985431,0,0,0,0
"Alistipes_SGB2302",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alistipes_SGB2305",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alistipes_SGB2310",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alistipes_SGB2313",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alistipes_SGB6032",0,0,0.448725219015689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alistipes_shahii",1.76389967537518,0.135526799766161,0,0,0.212681838318396,0,0.0565492968621765,0.0204116840449014,0.0886621008451502,0.074661495818976,0.688282303307308,0.192274443964798,0.333205126307653,0,0,0.0103345842263544,0.845496448063967,0.0690700712994054,0.404603275771671,0.190986548820754,0.479349940728524,0.116890492276098,0.234402909196478,3.55319208416621,2.0433768375317,2.78217576279384,0.545587851039266,0.025745719198039,0,0,3.9940056822109,0.601008988202972,1.95474051289635,0.113365417480368,1.37390707475078,0.237006857997051,0,0.779752208268331,1.93752992097249,0
"Alistipes_sp_AF17_16",0.212974235106375,0.0754274419243129,0,0,0.0112863934369434,0.00187890936162577,0.0297426980863362,0.00452798846187745,0.0270619820892958,0,0.0348455087285706,0,0.150302106209664,0,0.00200514096576938,0.0105336288002524,0,0,0.0458106449198344,0.101438696870282,0.14157837258621,0.0705643018432185,0.337438457338684,0.229419994101588,3.19626699538666,0.931044013438143,0.07223272380134,0,0,0,0,0.792549564221365,0,0.517922676587785,0.297211387045682,0.0193190472432222,0,0,1.51158936228826,0
"Alistipes_sp_An31A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alistipes_sp_An66",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alistipes_sp_D31t1_170403_E11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0168229855410559,0,0,0,0.00737433324002974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alistipes_timonensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00376534034758706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Allisonella_histaminiformans",0,0,0,0,0,0.158643775497004,0,0.0042596753954728,0,0,0,0.0827965968515122,0,0,0,0.102859679578872,0.0609822478487177,0,0,0.0655676862512382,0,0,0,0.00889454339157861,0,0.0333814999468396,0,0,0,0,0,0.00356537242956089,0.0866478747872736,0,0,0,0,0,0.0417649107603577,0
"Allobaculum_stercoricanis",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0361715364404476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alloprevotella_SGB1410",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alloprevotella_tannerae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alloscardovia_omnicolens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alteromonas_abrolhosensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alteromonas_macleodii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Amedibacillus_dolichus",0,0,0.00938453796553474,0.0376968062442453,0,0.122652025144978,0,0,0,0,0,0,0,1.10164009052781,0,0.00235138840193046,0,0,0,0.0900520860438449,0,0,0,0,0.0176696801899154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Amedibacterium_intestinale",0,0,0,0,0,0.0411498720456409,0,0,0,0,0,0,0,0,0,0,0,0,0.00486181391527067,0.414123779411856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anaerobutyricum_hallii",0,0,0,0.23697909951912,0.0857439845929251,0.0268175734441229,0,0.00292683168993147,0.00634758467410067,0.105995677552738,0.106275600328491,0.0912113804363824,0.148252902371711,0,0,0.00587342584541964,0.0686946501033464,0,0.0994691016170773,0,0,0,0.0751249241863277,0,0.0245400860232041,0.0747341242849332,0.0104938258289111,0.183701678527301,0,0,0.112820053440486,0,0,0,0.0475133540472461,0,0,0,0,0.760475672240358
"Anaerobutyricum_soehngenii",2.58682152408574,0,0,0,0.270122365320684,0,0.259343895945044,0.0121180148432793,0.0233598022448511,0,0.0103892098516277,0.0141796910450051,0,0,0.0193250668903798,0,0.00408529483871136,0,0,0.054762326500185,0.00126512731305756,0,0.461256865327826,0,0,0.0066451334853294,0,0,0,0,0,0,0.000175166210963217,0,0.0187880692803013,0,0,0,0,0
"Anaerococcus_lactolyticus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anaerococcus_obesiensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anaerococcus_SGB15407",0,0,0,0,0,0,0,0,0,0,0,0,0.00369430450842035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anaerococcus_SGB4342",0,0,0,0,0,0,0,0.00655765857368735,0,0,0,0,0.000526365286160156,0,0,0,0,0,0,0,0,0,0,0,0,0.368492129936669,0,0,0,0,0.321749885389021,0,0,0,0,0,0,0,0,0
"Anaerococcus_SGB53821",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181118259526868,0.0721117527055337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0107013013795762,0,0
"Anaerococcus_SGB6671",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anaerofilum_sp_An201",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anaerofilum_sp_BX8",0,0,0,0,0,0,0,0,0,0,0,0,0.000155960084788194,0,0,0,0,0,0,0,0,0,0,0.0005357191551445,0,0.0200980771832795,0.00113870439609194,0,0,0,0,0,0,7.10690162500441e-05,0,0.000225878596199209,0,0,0,0
"Anaerofustis_stercorihominis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anaeroglobus_geminatus",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0185165348290951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0287611148963006,0,0,0,0,0,0.00328351810472741,0,0,0,0,0
"Anaeromassilibacillus_senegalensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anaeromassilibacillus_sp_An250",0.0171948061905252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000845480439547428,0,0,0.0221281096270755,0,0,0,0,0,0,0,0,0.00492959686286594,0,0.000193824589772847,0,0,0,0,0,0
