geneset,OR,lower,upper,BHFDR,set,variant,significant
Nervous system AD or X-linked,1.758318798,0.823530131,3.339354623,0.493028161,INOVA,Missense,
Nervous system,1.013828639,0.550278657,1.740007237,1,CHILD,Missense,
Nervous system,1.192737231,0.811449493,1.705840893,0.671463607,CHILD+INOVA,Missense,
Nervous system,1.802356386,1.26936484,2.509696962,0.021424018,CP,Missense,*
Nervous system,1.363124249,0.803676406,2.200947039,0.631083018,INOVA,Missense,
Sensory system abnormality,1.417883966,0.799090776,2.368167247,0.666911601,CHILD,Missense,
Sensory system abnormality,1.608750231,1.084981211,2.319984814,0.097655495,CP,Missense,*
Sensory system abnormality,1.080236506,0.697611474,1.610573223,1,CHILD+INOVA,Missense,
Sensory system abnormality,1.015430358,0.526086012,1.800225628,0.904300826,INOVA,Missense,
NeuroBehavior abnormality,1.463486331,1.040778836,2.021478914,0.08989532,CP,Missense,*
NeuroBehavior abnormality,1.042399563,0.725857363,1.462700425,0.934156861,CHILD+INOVA,Missense,
NeuroBehavior abnormality,1.141703364,0.689120381,1.811343318,0.718535297,INOVA,Missense,
NeuroBehavior abnormality,0.934132417,0.53501378,1.541930866,1,CHILD,Missense,
Post-synaptic density,0.65864668,0.370831761,1.090345641,0.583043823,CHILD+INOVA,Missense,
Post-synaptic density,0.666426604,0.281594129,1.353506549,0.956158123,CHILD,Missense,
Post-synaptic density,0.732373032,0.327565659,1.433817855,0.635519082,INOVA,Missense,
Post-synaptic density,1.005254428,0.610002869,1.575102716,1,CP,Missense,
Very high brain expression,1.097936109,0.938395546,1.280370392,0.379868563,CP,Tandem repeat,
Very high brain expression,1.020102183,0.713134855,1.431552381,1,INOVA,Tandem repeat,
Very high brain expression,1.135089261,0.905629975,1.413300233,0.595891156,CHILD,Tandem repeat,
FMR1 targets from Darnell et al,1.123360852,0.909932844,1.377738437,0.379868563,CP,Tandem repeat,
FMR1 targets from Darnell et al,0.62533307,0.330564521,1.095659812,1,INOVA,Tandem repeat,
FMR1 targets from Darnell et al,1.102449495,0.837797782,1.435435832,0.595891156,CHILD,Tandem repeat,
Nervous system development,0.773203395,0.406609304,1.363988741,1,INOVA,Tandem repeat,
Nervous system development,1.206749553,0.993618797,1.457914581,0.22886387,CP,Tandem repeat,
Nervous system development,1.068895878,0.801587782,1.408490721,0.595891156,CHILD,Tandem repeat,
Central nervous system development,1.247589748,0.830132316,1.831679818,0.595891156,CHILD,Tandem repeat,
Central nervous system development,1.377839907,0.945593719,1.966766033,0.22886387,CP,Tandem repeat,
Central nervous system development,1.453784663,0.580963522,3.198548058,1,INOVA,Tandem repeat,
Neuron projection,0.958873656,0.590315507,1.497435615,1,INOVA,Tandem repeat,
Neuron projection,1.071102353,0.860271426,1.323961001,0.509746286,CP,Tandem repeat,
Neuron projection,1.013583618,0.744724921,1.360200554,0.688106014,CHILD,Tandem repeat,
Axon guidance pathways,1.60962333,1.128632787,2.257541879,0.077003793,CP,Tandem repeat,*
Axon guidance pathways,1.203375623,0.451358006,2.743109679,1,INOVA,Tandem repeat,
Axon guidance pathways,1.164340404,0.63998179,2.008262068,0.595891156,CHILD,Tandem repeat,
Inclusive union of neuron functions,1.045748173,0.848357626,1.281772075,0.595891156,CHILD,Tandem repeat,
Inclusive union of neuron functions,1.078218869,0.921113265,1.257923352,0.416165927,CP,Tandem repeat,
Inclusive union of neuron functions,0.881790552,0.615471447,1.238235991,1,INOVA,Tandem repeat,
Stringent union of neuron functions,0.792303852,0.494891942,1.220575745,1,INOVA,Tandem repeat,
Stringent union of neuron functions,1.022526466,0.772356459,1.338330966,0.684742418,CHILD,Tandem repeat,
Stringent union of neuron functions,1.073875768,0.87550708,1.309006264,0.504659793,CP,Tandem repeat,
Nervous system AD or X-linked,0.602567467,0.277387995,1.171739202,0.98956482,CHILD,Tandem repeat,
Nervous system AD or X-linked,0.696832605,0.443170542,1.054690126,0.98865758,CP,Tandem repeat,
Nervous system AD or X-linked,0.443431857,0.051179355,1.757863125,1,INOVA,Tandem repeat,
Nervous system,1.143426264,0.763154879,1.672440408,0.595891156,CHILD,Tandem repeat,
Nervous system,0.856644293,0.63528035,1.137594913,0.98865758,CP,Tandem repeat,
Nervous system,0.335686573,0.06701661,1.037080475,1,INOVA,Tandem repeat,
Sensory system abnormality,1.166485764,0.698057851,1.868971135,0.999388804,INOVA,Tandem repeat,
Sensory system abnormality,1.075070089,0.831138608,1.376287373,0.523553392,CP,Tandem repeat,
Sensory system abnormality,0.85694147,0.573415814,1.247124332,0.990152761,CHILD,Tandem repeat,
NeuroBehavior abnormality,1.072551856,0.827979966,1.376464982,0.595891156,CHILD,Tandem repeat,
NeuroBehavior abnormality,1.112054385,0.916692791,1.341777493,0.379868563,CP,Tandem repeat,
NeuroBehavior abnormality,0.775865685,0.469229333,1.226892646,1,INOVA,Tandem repeat,
Post-synaptic density,1.251750349,0.955329528,1.62459264,0.595891156,CHILD,Tandem repeat,
Post-synaptic density,1.288537136,1.055495425,1.564539468,0.077003793,CP,Tandem repeat,*
Post-synaptic density,0.757724543,0.408405007,1.311467497,1,INOVA,Tandem repeat,
