SampleID	Env	SourceSink	id
ERR525852	Env_3	Source	51
ERR525855	Env_4	Source	51
ERR525858	Env_1	Sink	52
ERR525857	Env_2	Source	52
ERR525856	Env_3	Source	52
ERR525859	Env_4	Source	52
ERR525862	Env_1	Sink	53
ERR525861	Env_2	Source	53
ERR525860	Env_3	Source	53
ERR525863	Env_4	Source	53
ERR525874	Env_1	Sink	54
ERR525873	Env_2	Source	54
ERR525872	Env_3	Source	54
ERR525875	Env_4	Source	54
ERR525878	Env_1	Sink	55
ERR525877	Env_2	Source	55
ERR525876	Env_3	Source	55
ERR525879	Env_4	Source	55
ERR525894	Env_1	Sink	56
ERR525885	Env_2	Source	56
ERR525880	Env_3	Source	56
ERR525895	Env_4	Source	56
ERR525902	Env_1	Sink	57
ERR525897	Env_2	Source	57
ERR525896	Env_3	Source	57
ERR525903	Env_4	Source	57
ERR525900	Env_1	Sink	58
ERR525899	Env_2	Source	58
ERR525898	Env_3	Source	58
ERR525901	Env_4	Source	58
ERR525914	Env_1	Sink	59
ERR525913	Env_2	Source	59
ERR525912	Env_3	Source	59
ERR525915	Env_4	Source	59
ERR525922	Env_1	Sink	60
ERR525921	Env_2	Source	60
ERR525920	Env_3	Source	60
ERR525923	Env_4	Source	60
ERR525934	Env_1	Sink	61
ERR525933	Env_2	Source	61
ERR525932	Env_3	Source	61
ERR525935	Env_4	Source	61
ERR525938	Env_1	Sink	62
ERR525937	Env_2	Source	62
ERR525936	Env_3	Source	62
ERR525939	Env_4	Source	62
ERR525947	Env_1	Sink	63
ERR525946	Env_2	Source	63
ERR525945	Env_3	Source	63
ERR525948	Env_4	Source	63
ERR525958	Env_1	Sink	64
ERR525957	Env_2	Source	64
ERR525956	Env_3	Source	64
ERR525959	Env_4	Source	64
ERR525962	Env_1	Sink	65
ERR525961	Env_2	Source	65
ERR525960	Env_3	Source	65
ERR525963	Env_4	Source	65
ERR525970	Env_1	Sink	66
ERR525969	Env_2	Source	66
ERR525968	Env_3	Source	66
ERR525971	Env_4	Source	66
ERR525974	Env_1	Sink	67
ERR525973	Env_2	Source	67
ERR525972	Env_3	Source	67
ERR525975	Env_4	Source	67
ERR525982	Env_1	Sink	68
ERR525981	Env_2	Source	68
ERR525980	Env_3	Source	68
ERR525983	Env_4	Source	68
ERR525986	Env_1	Sink	69
ERR525985	Env_2	Source	69
ERR525984	Env_3	Source	69
ERR525987	Env_4	Source	69
ERR526014	Env_1	Sink	70
ERR526013	Env_2	Source	70
ERR526012	Env_3	Source	70
ERR526015	Env_4	Source	70
ERR526018	Env_1	Sink	71
ERR526017	Env_2	Source	71
ERR526016	Env_3	Source	71
ERR526019	Env_4	Source	71
ERR526034	Env_1	Sink	72
ERR526033	Env_2	Source	72
ERR526032	Env_3	Source	72
ERR526035	Env_4	Source	72
ERR526042	Env_1	Sink	73
ERR526041	Env_2	Source	73
ERR526040	Env_3	Source	73
ERR526043	Env_4	Source	73
ERR526046	Env_1	Sink	74
ERR526045	Env_2	Source	74
ERR526044	Env_3	Source	74
ERR526047	Env_4	Source	74
ERR526054	Env_1	Sink	75
ERR526053	Env_2	Source	75
ERR526052	Env_3	Source	75
ERR526055	Env_4	Source	75
ERR526072	Env_1	Sink	76
ERR526071	Env_2	Source	76
ERR526070	Env_3	Source	76
ERR526073	Env_4	Source	76
ERR525711	Env_1	Sink	77
ERR525710	Env_2	Source	77
ERR525709	Env_3	Source	77
ERR525712	Env_4	Source	77
ERR525728	Env_1	Sink	78
ERR525727	Env_2	Source	78
ERR525726	Env_3	Source	78
ERR525729	Env_4	Source	78
ERR525766	Env_1	Sink	79
ERR525765	Env_2	Source	79
ERR525764	Env_3	Source	79
ERR525767	Env_4	Source	79
ERR525782	Env_1	Sink	80
ERR525781	Env_2	Source	80
ERR525780	Env_3	Source	80
ERR525783	Env_4	Source	80
ERR525866	Env_1	Sink	81
ERR525865	Env_2	Source	81
ERR525864	Env_3	Source	81
ERR525867	Env_4	Source	81
ERR525927	Env_1	Sink	82
ERR525926	Env_2	Source	82
ERR525924	Env_3	Source	82
ERR525928	Env_4	Source	82
ERR525994	Env_1	Sink	83
ERR525993	Env_2	Source	83
ERR525992	Env_3	Source	83
ERR525995	Env_4	Source	83
ERR526038	Env_1	Sink	84
ERR526037	Env_2	Source	84
ERR526036	Env_3	Source	84
ERR526039	Env_4	Source	84
ERR526086	Env_1	Sink	85
ERR526085	Env_2	Source	85
ERR526084	Env_3	Source	85
ERR526087	Env_4	Source	85
ERR525740	Env_1	Sink	86
ERR525739	Env_2	Source	86
ERR525738	Env_3	Source	86
ERR525741	Env_4	Source	86
ERR525814	Env_1	Sink	87
ERR525805	Env_2	Source	87
ERR525800	Env_3	Source	87
ERR525815	Env_4	Source	87
ERR525826	Env_1	Sink	88
ERR525825	Env_2	Source	88
ERR525824	Env_3	Source	88
ERR525827	Env_4	Source	88
ERR525883	Env_1	Sink	89
ERR525882	Env_2	Source	89
ERR525881	Env_3	Source	89
ERR525884	Env_4	Source	89
ERR525888	Env_1	Sink	90
ERR525887	Env_2	Source	90
ERR525886	Env_3	Source	90
ERR525889	Env_4	Source	90
ERR525892	Env_1	Sink	91
ERR525891	Env_2	Source	91
ERR525890	Env_3	Source	91
ERR525893	Env_4	Source	91
ERR525918	Env_1	Sink	92
ERR525917	Env_2	Source	92
ERR525916	Env_3	Source	92
ERR525919	Env_4	Source	92
ERR525930	Env_1	Sink	93
ERR525929	Env_2	Source	93
ERR525925	Env_3	Source	93
ERR525931	Env_4	Source	93
ERR525942	Env_1	Sink	94
ERR525941	Env_2	Source	94
ERR525940	Env_3	Source	94
ERR525943	Env_4	Source	94
ERR525952	Env_1	Sink	95
ERR525951	Env_2	Source	95
ERR525950	Env_3	Source	95
ERR525953	Env_4	Source	95
ERR526002	Env_1	Sink	96
ERR526001	Env_2	Source	96
ERR526000	Env_3	Source	96
ERR526003	Env_4	Source	96
ERR526050	Env_1	Sink	97
ERR526049	Env_2	Source	97
ERR526048	Env_3	Source	97
ERR526051	Env_4	Source	97
ERR526062	Env_1	Sink	98
ERR526061	Env_2	Source	98
ERR526060	Env_3	Source	98
ERR526063	Env_4	Source	98
