clade_name	Healthy01	Healthy02	Healthy03	Healthy04	Healthy05	Healthy06	Healthy07	Healthy08	Healthy09	Healthy10	Patients01	Patients02	Patients03	Patients04	Patients05	Patients06	Patients07	Patients08	Patients09	Patients10
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	0.11107	0.60776	1.17119	0.11789	0.17911	0.00977	0	0.17819	0.01487	0.01759	0	4.11159	0.04741	0.00816	0.9991	1.65114	1.6671	0.69119	56.45148	10.4167
k__Bacteria|p__Firmicutes|c__CFGB9989|o__OFGB9989	0.10668	0	0	0	0	0	0	0.07598	0	0	0	0	0	0	0	1.95111	0.06791	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB2889|o__OFGB2889	0.19794	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01501	0	0	0	0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	0.19191	0.05415	0.15759	0.64157	0.15115	0.64078	1.11591	0.06541	0.65911	0.19147	1.11111	0.1184	1.18801	0.11461	0.19567	0.87151	0.18515	0.10594	0.11014	0.11007
k__Bacteria|p__Firmicutes|c__CFGB3068|o__OFGB3068	0.18066	0.011	0	0	0	0	0	0.0064	0	0	0.16996	0	0	0.08567	0.06144	0.81817	0.55104	0	0	0
k__Bacteria|p__Proteobacteria|c__CFGB3069|o__OFGB3069	0.17846	0	0	0	0	0	0	0	0	0	0	0	0.0011	0.00899	0	1.05141	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	0.11176	0.05166	0.01101	0.17471	0.11911	0	0.01068	0.11119	0.00918	0.01585	0.06575	0.79675	0.79011	0.01147	0.05151	0.41886	0.01111	0.115	0.08745	1.17116
k__Bacteria|p__Firmicutes|c__CFGB32970|o__OFGB32970	0.1101	0	0	0	0.06117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB1507|o__OFGB1507	0.07514	0.05511	0	0.46657	0	0.01664	0	0.01174	0	0	0.00814	0.01411	0	0.01666	0.16181	0	0.1159	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	0.07151	0.01147	0.14111	0.01111	0.06901	0.11164	0.01401	0.11061	0.01066	0.15841	1.06991	0.05761	0.11147	0.01117	0	0.06981	0.45174	5.49918	4.70181	51.08717
k__Bacteria|p__Actinobacteria|c__CFGB12107|o__OFGB12107	0.05641	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB38642|o__OFGB38642	0.01145	0.00516	0	0	0.01911	0	0	0.11881	0	0.01181	0	0	1.4595	0.00195	0	0.89111	0.0581	0.00846	0	0
k__Bacteria|p__Firmicutes|c__CFGB15212|o__OFGB15212	0.01808	0	0	0	0	0	0	0.00111	0	0.0005	0	0	0	0	0	0.01119	0	0.15765	0	0
k__Bacteria|p__Firmicutes|c__CFGB2932|o__OFGB2932	0.01691	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales	0.01584	0.01791	0	0	0	0	0	0.01111	0.01101	0	0.00179	0	0	0.01861	0.01575	0	0.01916	0.00841	0	0
k__Bacteria|p__Lentisphaerae|c__CFGB2345|o__OFGB2345	0.01166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales	0.01994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09161	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales	0.01596	0	0.01184	0.05444	0.01606	0.11146	0.01766	0	0	0.01811	0.08611	0	0.41547	0	0	0.07155	0.0664	0.04181	0	0
k__Bacteria|p__Firmicutes|c__CFGB1227|o__OFGB1227	0.01417	0.00786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB1011|o__OFGB1011	0.01151	0	0	0	0	0	0	0.00118	0.01161	0	0	0	0.00548	0.00119	0.01107	0.00071	0.01681	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB1126|o__OFGB1126	0.01118	0.01814	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00118	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB3048|o__OFGB3048	0.00811	0	0	0	0	0	0	0	0	0.01011	0.08187	0	0.01196	0	0	0.0044	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	0.00788	0.01805	0.01055	0	0.09611	0	0.8019	0	0	0.01695	0.15671	0.14841	0.74104	0.08601	1.11179	0.76991	0.1514	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB2954|o__OFGB2954	0.00716	0	0	0	0	0	0	0.0085	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_unclassified|o__Nitrosopumilales	0.00645	0.00581	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00115	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB1538|o__OFGB1538	0.00566	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB2982|o__OFGB2982	0.00069	0	0	0	0	0	0	0.09519	0	0.08111	0	0	0	0.09585	0	0.11118	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	44.68157	70.15715	9.01099	15.54785	11.78678	41.40959	5.9189	1.61701	61.74918	10.51111	44.11789	10.87957	6.00191	16.01668	9.4161	0.91919	19.41198	0.56556	1.51814	1.81846
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	11.06486	7.41198	0.57156	11.80181	1.1811	4.00791	1.08111	1.11445	6.17611	1.17644	1.01195	6.7191	0.88556	15.81858	5.00819	8.79145	6.51784	0.0944	0.04817	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae	11.05418	8.65448	5.81565	8.41495	8.19481	7.70171	8.05971	7.40604	1.55011	16.81151	11.1098	10.69748	41.18515	9.94111	10.48114	11.10067	14.19147	11.14601	9.1611	1.74404
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae	9.81817	1.81685	40.86174	11.80941	8.46676	11.86505	11.61489	5.11801	9.11114	10.04598	18.75111	8.6671	11.91896	11.15179	5.97007	4.94494	8.11119	18.88011	7.11617	11.06617
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae	1.50916	0.51155	0.8114	0.8118	0.18001	1.40165	0.11997	0.51841	1.16769	1.6109	0.15947	1.60006	0.09197	1.40171	1.86906	0.18717	1.17519	0.0701	0.07916	1.4145
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_unclassified	1.66401	0.18006	0.1161	1.54568	1.11119	0.5114	1.19415	0.11998	0.61075	0.15009	1.17111	4.71075	0.11511	1.18518	0.78688	4.07001	0.9181	0.11866	0	0.01447
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae	1.11191	0.98699	5.14041	5.09411	5.51151	1.79787	7.75656	7.04745	1.88674	5.17616	1.05484	1.60115	0.99014	1.51117	4.65618	1.66018	5.91671	8.94481	1.45451	1.79851
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae	0.95997	0.11005	0	0	0.71496	0	1.07044	0.01007	0	0.91585	0	0	0	0.7608	0.15188	0.00491	0	0	0	0.01961
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae	0.88179	1.14469	1.77119	0	0.99105	4.11811	1.10886	1.16006	1.50576	1.17051	1.07464	1.18961	0.05119	1.15115	6.90411	1.11018	1.15151	0.11745	0.6854	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae	0.86519	0.57594	0	0	0.10141	0.11105	0.85181	0.10411	0.11088	0.10818	0.04011	0.00811	0.41504	0.15171	0.11197	0.01684	0.8401	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified	0.81171	0.16715	0.11574	0	0.08597	1.04666	0.16	0.47858	0.09941	0.01111	0.0499	0.11714	0.54888	0.07054	0.1481	0.01665	0.09519	0.01911	0.00181	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	0.6804	0	0.00179	0.06811	11.14546	0	7.10015	61.85499	0	0	0	0.01861	0.00107	10.91511	18.04154	1.97147	9.16071	19.75	0	0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae	0.59757	0	0.00118	1.11611	0.04615	0.00187	0.10814	0	0.01911	0	1.07114	0	0.00111	0.45908	0.17515	9.51516	0.01966	1.41155	0.40581	1.10041
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae	0.57655	0.1894	9.11115	4.19716	0.47646	0.68111	1.15719	0.40598	0.98986	1.47114	0	4.68159	0.01885	1.01111	1.6695	0.10146	1.68151	1.74756	1.17087	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae	0.19014	0.15817	0	0	0	0	0	0.69117	0	0	0	0.9518	0	0	0.19141	0.87145	0.00795	0.56515	0	0.01959
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae	0.11549	0.06458	0.07708	0.09119	0.07658	1.18597	0	0	0.11156	0.55711	0	0.09701	0	0.5918	1.79081	0.11116	1.44181	0.5679	1.11641	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae	0.11107	0.60776	1.17119	0.11789	0.17911	0.00977	0	0.17819	0.01487	0.01759	0	4.11159	0.04741	0.00816	0.9991	1.65114	1.6671	0.69119	55.17001	10.4167
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptococcaceae	0.1105	0	0	0	0	0	0	0	0	0	0	0	0	0.01751	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB9989|o__OFGB9989|f__FGB9989	0.10668	0	0	0	0	0	0	0.07598	0	0	0	0	0	0	0	1.95111	0.06791	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB2889|o__OFGB2889|f__FGB2889	0.19794	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01501	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB3068|o__OFGB3068|f__FGB3068	0.18066	0.011	0	0	0	0	0	0.0064	0	0	0.16996	0	0	0.08567	0.06144	0.81817	0.55104	0	0	0
k__Bacteria|p__Proteobacteria|c__CFGB3069|o__OFGB3069|f__FGB3069	0.17846	0	0	0	0	0	0	0	0	0	0	0	0.0011	0.00899	0	1.05141	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Sanguibacteraceae	0.15487	0	0	0	0	0	0	0	0.06181	0	0.11197	0	0.56455	0	0	0	0.41984	0.00516	0	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae	0.11176	0.05166	0.01101	0.17471	0.11911	0	0.01068	0.11119	0.00918	0.01585	0.06575	0.79675	0.79011	0.01147	0.05151	0.41886	0.01111	0.115	0.08745	1.17116
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Coprobacillaceae	0.11051	0.00881	0.00114	0	0	0	1.70011	0	0	0	0	0	0.51817	0.15781	0	0.84154	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB32970|o__OFGB32970|f__FGB32970	0.1101	0	0	0	0.06117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	0.08119	0.04544	0.15055	0.10508	0.14164	0.6161	0.61571	0.06541	0.65911	0.15619	1.11111	0.1184	0.86964	0.0768	0.19567	0.01798	0.18515	0.10141	0.06155	0.11007
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Christensenellaceae	0.07601	0	0	0.00119	0	0	0.01811	0.0001	0.01016	0	0	0	0.11141	0.00078	0.0101	0.56511	0.00955	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB1507|o__OFGB1507|f__FGB1507	0.07514	0.05511	0	0.46657	0	0.01664	0	0.01174	0	0	0.00814	0.01411	0	0.01666	0.16181	0	0.1159	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	0.07151	0.01147	0.11916	0.01111	0.04791	0.0791	0.01819	0.10111	0.01066	0.00811	0.66611	0.05761	0.11709	0.01117	0	0	0.06111	5.01561	1.15811	1.46111
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_Family_XIII_Incertae_Sedis	0.06947	0.05668	0	0	0.01548	0	0.05906	0	0.0011	0.00147	0	0.00596	0.05944	0	0.17194	0.14115	0.01118	0.00556	0.00615	0
k__Bacteria|p__Actinobacteria|c__CFGB12107|o__OFGB12107|f__FGB12107	0.05641	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae	0.0165	0	0	0	0	0	0.0641	0	0.17598	0	0	0	0	0	0.01888	0	0.01109	0.00106	0	0
k__Bacteria|p__Firmicutes|c__CFGB38642|o__OFGB38642|f__FGB38642	0.01145	0.00516	0	0	0.01911	0	0	0.11881	0	0.01181	0	0	1.4595	0.00195	0	0.89111	0.0581	0.00846	0	0
k__Bacteria|p__Firmicutes|c__CFGB15212|o__OFGB15212|f__FGB15212	0.01808	0	0	0	0	0	0	0.00111	0	0.0005	0	0	0	0	0	0.01119	0	0.15765	0	0
k__Bacteria|p__Firmicutes|c__CFGB2932|o__OFGB2932|f__FGB2932	0.01691	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales|f__Synergistaceae	0.01584	0.01791	0	0	0	0	0	0.01111	0.01101	0	0.00179	0	0	0.01861	0.01575	0	0.01916	0.00841	0	0
k__Bacteria|p__Lentisphaerae|c__CFGB2345|o__OFGB2345|f__FGB2345	0.01166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Aeromonadaceae	0.01994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09161	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales|f__Chromatiaceae	0.01596	0	0.01184	0.05444	0.01606	0.11146	0.01766	0	0	0.01811	0.08611	0	0.41547	0	0	0.07155	0.0664	0.04181	0	0
k__Bacteria|p__Firmicutes|c__CFGB1227|o__OFGB1227|f__FGB1227	0.01417	0.00786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB1011|o__OFGB1011|f__FGB1011	0.01151	0	0	0	0	0	0	0.00118	0.01161	0	0	0	0.00548	0.00119	0.01107	0.00071	0.01681	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB1126|o__OFGB1126|f__FGB1126	0.01118	0.01814	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00118	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB3048|o__OFGB3048|f__FGB3048	0.00811	0	0	0	0	0	0	0	0	0.01011	0.08187	0	0.01196	0	0	0.0044	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_unclassified	0.00788	0.01805	0.01055	0	0.00779	0	0.01195	0	0	0	0.15671	0.1476	0.14418	0.08601	0.76179	0.01511	0.11104	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB2954|o__OFGB2954|f__FGB2954	0.00716	0	0	0	0	0	0	0.0085	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_unclassified|o__Nitrosopumilales|f__Nitrosopumilaceae	0.00645	0.00581	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00115	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB1538|o__OFGB1538|f__FGB1538	0.00566	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB2982|o__OFGB2982|f__FGB2982	0.00069	0	0	0	0	0	0	0.09519	0	0.08111	0	0	0	0.09585	0	0.11118	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides	11.87115	15.68591	5.11017	19.66111	11.81197	11.11111	4.66561	1.17711	19.11945	15.48711	18.91155	16.89481	1.14594	15.05101	1.4906	0.8911	18.74745	0.14191	1.48666	0.80119
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes	11.06486	5.99819	0.57156	11.80181	1.1811	4.00791	1.08111	0.41606	6.17611	1.14461	1.01195	6.7191	0.15149	15.81858	4.96171	4.85606	6.47111	0.0944	0.04817	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola	10.81111	14.19711	1.91071	5.88571	19.95481	19.09846	1.14771	0.4598	44.51971	15.04581	15.15615	1.98475	1.65799	10.98467	5.9455	0.04609	10.19191	0.41968	1.04158	1.01717
