,Healthy01,Healthy02,Healthy03,Healthy04,Healthy05,Healthy06,Healthy07,Healthy08,Healthy09,Healthy10,Patients01,Patients02,Patients03,Patients04,Patients05,Patients06,Patients07,Patients08,Patients09,Patients10
Actinomyces_sp_oral_taxon_170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actinomyces_sp_oral_taxon_414,0,0,0,0,0,0,0,0,0,0,0,0,0.00251,0,0,0,0,0,0.04699,0
Actinomyces_sp_oral_taxon_448,0,0,0,0,0,0,0,0,0,0,0,0,0.03635,0,0,0,0,0,0.0014,0
Actinomyces_sp_ph3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00288,0,0
Actinomyces_timonensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actinomyces_urogenitalis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adlercreutzia_equolifaciens,0,0.02984,0,0,0.07151,0,0.00333,0,0,0,0,0,0.71798,0,0,0.18834,0,0,0,0
Aerococcus_christensenii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aeromonas_allosaccharophila,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aeromonas_caviae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aeromonas_dhakensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aeromonas_hydrophila,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aeromonas_veronii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agathobaculum_butyriciproducens,0.01833,0.04529,0,0.65738,0.12145,0.2411,0,0.07493,0.2016,0.28328,0.02268,0.37749,0.78025,0.13194,0,0.27443,0.11072,3.46309,0.21449,0
Agathobaculum_sp_Marseille_P7918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aggregatibacter_aphrophilus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aggregatibacter_kilianii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aggregatibacter_segnis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aggregatibacter_sp_2125159857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Akkermansia_glycaniphila,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Akkermansia_muciniphila,0,2.59553,0,0,0,0,0,0,0,0.16166,0,8.4476,0,0,0,0,0,0,0,0
Akkermansia_sp_KLE1798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alcanivorax_marinus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aliarcobacter_butzleri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aliarcobacter_cryaerophilus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alicycliphilus_SGB61891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alistipes_communis,0.0074,0.38695,0,0,0,0,0.24733,0,0,0,0.03988,0,0,0.31362,0.0383,0.58596,0,0,0,0
Alistipes_dispar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alistipes_finegoldii,1.37013,0.69005,0,0.06111,0.18906,0,0,0,0,0.14226,0,0.00383,0.03397,0.08964,0,0,2.39766,0,0,0
Alistipes_ihumii,0,0.15097,0,0,0.03845,0,0.10066,0.0073,0,0.02678,0,0,0,0,0,0.4914,0,0,0.00619,0
Alistipes_indistinctus,0.21381,0.05633,0,0,0.04809,0,0.15039,0.00434,0.06869,0,0,0.47634,0,0.0465,0,0.08082,0,0,0,0
Alistipes_onderdonkii,0,0.92295,0,0,0.02955,0,0.97534,0.05121,0.18005,0.19463,0.02184,0.99377,0,2.90622,0,0.09162,0,0.01896,0.03185,0
Alistipes_provencensis,0.13715,0,0,0,0,0,0,0,0.01768,0,0.00387,0,0.00072,0,0,0,0,0,0,0
Alistipes_putredinis,8.3508,3.26824,0,12.74272,2.62584,3.9979,0,0.01796,5.62211,1.74067,1.68038,5.07673,0,9.6298,0.00962,0.08072,3.27889,0.06008,0.01023,0
Alistipes_senegalensis,0.06609,0.0241,0,0,0,0,0.27593,0.10054,0,0,0,0,0,0,0,0.10063,0.01655,0,0,0
Alistipes_SGB2300,0,0,0,0,0,0,0,0,0.00048,0.00432,0,0,0.0139,0,0,0,0,0,0,0
Alistipes_SGB2302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alistipes_SGB2305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alistipes_SGB2310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alistipes_SGB2313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alistipes_SGB6032,0,0,0.57256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alistipes_shahii,2.37803,0.25264,0,0,0.40833,0,0.17066,0.17407,0.18393,0.13596,0.22652,0.1273,0.10397,2.72542,2.60569,2.71224,0.7151,0.01536,0,0
Alistipes_sp_AF17_16,0.54146,0.24616,0,0,0.04288,0.01002,0.16101,0.07063,0.10319,0,0.04591,0.05113,0.09894,0.1125,2.29311,0.71267,0.06293,0,0,0
Alistipes_sp_An31A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alistipes_sp_An66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alistipes_sp_D31t1_170403_E11,0,0,0,0,0,0,0,0,0,0,0.01353,0,0,0,0.01599,0,0,0,0,0
Alistipes_timonensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00489,0,0,0,0,0,0
Allisonella_histaminiformans,0,0,0,0,0,0.17021,0,0.01512,0,0,0,0,0,0.00466,0,0.09799,0,0,0,0
Allobaculum_stercoricanis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alloprevotella_SGB1410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alloprevotella_tannerae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alloscardovia_omnicolens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alteromonas_abrolhosensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alteromonas_macleodii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amedibacillus_dolichus,0,0,0.02885,0.09756,0,0.35795,0,0,0,0,0,0,0,0,0.01985,0,0,0,0,0
Amedibacterium_intestinale,0,0,0,0,0,0.05209,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anaerobutyricum_hallii,0,0,0,0.22358,0.0744,0.02823,0,0.00935,0.00503,0.0875,0,0,0.08635,0,0.08143,0.06761,0.01308,0.12208,0,0
Anaerobutyricum_soehngenii,0.42902,0,0,0,0.06716,0,0.0955,0.01279,0.00703,0,0.00449,0,1.21608,0,0,0.01429,0,0,0,0
Anaerococcus_lactolyticus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anaerococcus_obesiensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anaerococcus_SGB15407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anaerococcus_SGB4342,0,0,0,0,0,0,0,0.02658,0,0,0,0,0,0,0,0.4037,0,0,0,0
Anaerococcus_SGB53821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anaerococcus_SGB6671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anaerofilum_sp_An201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anaerofilum_sp_BX8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00067,0,0.02199,0.00173,0,0,0
Anaerofustis_stercorihominis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anaeroglobus_geminatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01529,0
Anaeromassilibacillus_senegalensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anaeromassilibacillus_sp_An250,0.01222,0,0,0,0,0,0,0,0,0,0,0,0.01672,0,0,0,0,0,0,0
Anaerosacchariphilus_sp_NSJ_68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anaerosporobacter_mobilis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anaerostipes_butyraticus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anaerostipes_caccae,0,0.02331,0,0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anaerostipes_hadrus,0.3311,0,1.68296,0.50726,0.02441,0.21108,0.34477,0,0.07521,0.20065,0.889,0.00884,1.71689,0.06176,0.00576,0.01377,0,0.10543,0.87531,0
Anaerostipes_hominis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anaerostipes_rhamnosivorans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anaerostipes_SGB4708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anaerotignum_faecicola,0,0.00889,0,0,0.06207,0.33109,0,0.18938,0.73095,0.00837,1.19979,0,3.72433,0.13088,0.23563,0.02808,1.17444,0,0,0
Anaerotignum_lactatifermentans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anaerotruncus_colihominis,0.06752,0.10975,0,0,0.00168,0.0113,0.01315,0,0.10456,0,0.01012,0.11214,0,0.05062,0.16899,0.00116,0.01705,0.01012,0,0
Anaerotruncus_massiliensis,0,0.01336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11211,0,0,0
Anaerotruncus_rubiinfantis,0.01359,0.01887,0,0,0,0,0,0.00635,0,0,0,0,0,0,0.02782,0.00332,0.01464,0,0,0
Angelakisella_massiliensis,0,0.02017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arachnia_propionica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00264,0
Arachnia_rubra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arachnia_SGB15898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arachnia_SGB15899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arcanobacterium_sp_S3PF19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arcanobacterium_urinimassiliense,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arthrobacter_dokdonellae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arthrobacter_nitrophenolicus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atlantibacter_hermannii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atopobium_deltae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atopobium_massiliense,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atopobium_sp_oral_taxon_199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atopobium_sp_oral_taxon_416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atopobium_sp_oral_taxon_810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Azospira_oryzae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacilliculturomica_massiliensis,0.01982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacillus_sp_FJAT_27916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacillus_subtilis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteroides_acidifaciens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteroides_bouchesdurhonensis,0,0,0,0,0,0,0,0.01273,0,0.00642,0,0,0,0,0,0,0,0,0,0
Bacteroides_caccae,0,0.18817,2.22707,0,1.40483,1.30011,1.98481,0,0,2.38951,0,0,0,0.08479,1.8088,0.03408,2.91219,0,0.81002,0
Bacteroides_cellulosilyticus,0.32779,0.43329,0,0,0,0.02174,0.11629,0.49084,0.33447,0,0,0,0.02157,0.19835,0,0,0.40433,0,0,0
Bacteroides_clarus,0,0,0,0,0,0,0,0.03506,0,0.00756,0,0,0.76309,0,0,0,0.08744,0,0,0
Bacteroides_congonensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteroides_cutis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteroides_eggerthii,0,0,0,0,0.35274,0,0.03577,0.2152,0,0,0,0,0,0,0,0.22785,2.74536,0,0,0
Bacteroides_faecalis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteroides_faecis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteroides_finegoldii,0,0,0,0,0.33814,0,0,0,1.12278,0.84056,0,0,0.17321,0.01352,0,7.00E-04,0.6421,0,0,0
Bacteroides_fluxus,0.32739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteroides_fragilis,7.03927,1.24029,0.09698,3.77744,0,2.66856,0,0.19479,5.05836,0.05699,6.21492,0.4685,0.58106,0.00546,0.74066,0,0.00119,0.13318,0.31614,0
Bacteroides_intestinalis,4.71784,0.37315,0,0,0.04839,0.02437,0.04514,0.45455,0.22085,4.28387,0.30027,0.00111,0,0.3524,0.00407,0.00526,0.25549,0,0,0
Bacteroides_ndongoniae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteroides_nordii,0.08686,0.34823,0.02912,0,0.0619,0,0.00666,0.0014,0.29288,0.08124,0.21375,0.00049,0,0,0.00019,0,0.08265,0,0,0
Bacteroides_oleiciplenus,0,0,0,0,0,0,0,0,0,0,0.00195,0,0,0,0,0,0,0,0,0
Bacteroides_ovatus,2.27871,7.91739,0.58785,21.37261,0.65908,1.56119,1.074,0.12069,1.25894,0,1.10293,0.38718,0.0836,0.28133,0.078,0.04774,0.02624,0,0.01003,0
Bacteroides_pyogenes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteroides_rodentium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteroides_salyersiae,0.87041,0.00994,0,0,0,0.01935,0,0.006,0,0,0,0.04326,0.01722,0.26079,0.0142,0.00296,0,0,0,0
Bacteroides_SGB14754,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00042,0,0,0,0,0,0
Bacteroides_SGB15210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteroides_SGB711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteroides_sp_AF16_49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10198,0,0,0
Bacteroides_sp_AF39_11AC,0,0,0,0,0,0,0,0,0,0,0.007,0,0,0,0,0,0,0,0,0
Bacteroides_sp_AM10_21B,0,2.33285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteroides_sp_Marseille_P3684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteroides_sp_OF04_15BH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteroides_stercorirosoris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteroides_stercoris,0,0,0.93847,2.12608,1.73174,11.00459,0.33915,0.03299,0,1.89324,4.84625,14.54322,0.00363,10.92701,0.39117,0.11158,0.01664,0,0,0.16671
Bacteroides_thetaiotaomicron,1.13047,2.13655,0.45444,2.38599,0.43544,2.11239,0.05311,0.39873,3.08581,0.30253,4.18506,0.3605,0.1269,0.69355,0.0283,0.05721,0.95617,0,0.19864,0.41044
Bacteroides_uniformis,16.36699,20.61664,0.18108,0,7.73249,2.2227,0.18105,1.18334,7.69143,1.93548,6.70107,0.76633,0.57566,11.38063,0.37967,0.39886,9.80134,0.00974,0.1424,0.19134
Bacteroides_xylanisolvens,0.72651,0.08942,0.59525,0,0.06721,1.37612,0.82962,0.03091,0.15393,3.68993,5.35034,0.32423,0,0.85378,0.04556,0.00696,0.71433,0,0.00943,0.0328
Baileyella_intestinalis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bariatricus_massiliensis,0,0,0,0,0,0,0,0,0,0,0,0.00091,0,0,0,0,0,0,0,0
Barnesiella_intestinihominis,0.95997,0.08246,0,0,0.71496,0,1.05711,0.00697,0,0.48151,0,0,0,0.7608,0.35188,0.00493,0,0,0,0
Barnesiella_sp_An22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barnesiella_sp_An55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beduini_massiliensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bergeyella_cardium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bifidobacterium_adolescentis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bifidobacterium_animalis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.92573
Bifidobacterium_bifidum,0,0,0,0,0,0,0,0,0,0,0.92277,0,0,0,0,0,0,0,0,0
Bifidobacterium_breve,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37468
Bifidobacterium_dentium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03134,0
Bifidobacterium_longum,0.51524,0,0,0,0,0,0.03547,0,0.02921,0,0.15047,0,0,0.10573,0.09858,7.1365,0.02966,2.38927,0.26803,0
Bifidobacterium_pseudocatenulatum,0.08233,0,0.00338,1.31631,0.04635,0.00187,0.27267,0,0,0,0,0,0,0.35335,0.07677,2.38886,0,0.02328,0.10644,0
Bifidobacterium_pseudolongum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bifidobacterium_pullorum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bifidobacterium_SGB4589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bilophila_SGB15450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bilophila_SGB15451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bilophila_SGB69261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bilophila_wadsworthia,0.19355,0.1894,0.27163,4.39726,0.29356,0.68133,0,0.0127,0.94112,0.09225,0,4.64073,0.00632,0.31599,0.60187,0.04167,0.78514,1.74756,2.27087,0
Bittarella_massiliensis,0,0,0,0,0,0,0,0,0,0,0,0.01486,0,0,0,0,0,0,0,0
Blautia_caecimuris,0.00728,0,0.13445,0,0,0.03419,0,0,0.05838,0,0,0.69367,0,0,0.0277,0,0,0.36035,0.03276,0
Blautia_faecicola,0,0,0,0,0.01395,0,0,0,0,0,0,0,0,0,0,0.13133,0,0,0,0
Blautia_faecis,0.2563,0,0.0047,0,0.05465,0.00926,0.14962,0.00932,0,1.06028,0.04194,0,0.46459,0.15125,0.03702,0.16015,0.00023,0.16272,0,0
Blautia_glucerasea,0.00742,0,0,0,0.00735,0,0,0,0,0.05682,0,0,0.0996,0,0,0.0034,0,0.02352,0,0
Blautia_hansenii,0,0,3.57444,1.4917,0,0,0,0,0.11889,0,0,0.24986,0.08375,0,0.12347,0,0.017,0.00262,0,0
Blautia_hydrogenotrophica,0,0,0,0,0,0,0,0,0,0,0,0,0.2479,0,0,0,0,0,0,0
Blautia_luti,0,0,0,0,0,0,0,0,0,0,0,0,0.32411,0,0,0.02925,0,0,0,0
Blautia_marasmi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blautia_massiliensis,0.20618,0.011,0,0.06659,0.18663,0,0.14972,0.01312,0,0.1742,0,0,0.69058,0,0.09546,0.27267,0.00236,0.39525,0,0
Blautia_obeum,0,0,0,0,0.3094,0,0.02055,0.02359,0,0.83878,0,0,0.78448,0,0.12607,0.14984,0.00124,0.08535,0,0
Blautia_producta,0,0,0,0.16499,0,0.00137,0.00685,0,0,0,0,0.19006,0,0.00113,0,0,0,0,0,0
Blautia_schinkii,0,0,0,0,0.10201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blautia_SGB15070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blautia_SGB4793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0375
Blautia_SGB4815,0,0,0,0,0.00241,0,0,0,0,0.008,0,0,0.08736,0,0,0.02432,0,0.02069,0,0
Blautia_SGB6487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blautia_sp_An249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blautia_sp_An81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blautia_sp_Marseille_P3087,0,0,0,0,0,0,0,0,0,0.02601,0,0,0.05681,0,0,0.00965,0,0,0,0
Blautia_sp_MSK_20_85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blautia_sp_OF03_15BH,0,0,0,0,0,0,0,0,0,0,0,0,0.02662,0,0,0.01687,0,0.0227,0,0
Blautia_stercoris,0,0,0,0,0.13691,0,0,0,0,1.30578,0,0,0,0,0,0.01864,0,0.06831,0,0
Blautia_wexlerae,0.96835,0.00507,0.00892,0.44436,0.37038,0.1224,0.35761,0.08873,0.00259,0.78053,0,0,1.32018,0.19413,0.03286,0.36324,0.06974,1.07652,0.22138,0
Brevibacterium_rongguiense,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
