X_features	Y_features	association
X6	Y0	-0.075918367
X6	Y1	-0.016086435
X6	Y2	-0.047587035
X6	Y3	-0.389771909
X6	Y4	-0.098583433
X6	Y5	-0.089267707
X6	Y6	0.658967587
X6	Y7	0.511356543
X6	Y8	0.291428571
X6	Y9	0.135846339
X6	Y10	0.026938776
X6	Y11	-0.010996399
X6	Y12	-0.007827131
X6	Y13	0.011188475
X6	Y14	0.295270108
X6	Y15	0.27817527
X7	Y0	-0.082064826
X7	Y1	0.064393758
X7	Y2	-0.022521008
X7	Y3	-0.313037215
X7	Y4	-0.100312125
X7	Y5	-0.018679472
X7	Y6	0.384585834
X7	Y7	0.629867947
X7	Y8	0.327442977
X7	Y9	0.228331333
X7	Y10	0.037887155
X7	Y11	0.085330132
X7	Y12	-0.090516206
X7	Y13	-0.01637455
X7	Y14	0.04605042
X7	Y15	0.148523409
X8	Y0	-0.053829532
X8	Y1	0.022713085
X8	Y2	0.005906363
X8	Y3	-0.343865546
X8	Y4	-0.162641056
X8	Y5	-0.049123649
X8	Y6	0.269339736
X8	Y7	0.547755102
X8	Y8	0.544489796
X8	Y9	0.065354142
X8	Y10	0.05939976
X8	Y11	0.104057623
X8	Y12	-0.138151261
X8	Y13	-0.095222089
X8	Y14	0.014741897
X8	Y15	0.205378151
X9	Y0	-0.297959184
X9	Y1	-0.104729892
X9	Y2	-0.140936375
X9	Y3	0.311596639
X9	Y4	0.341080432
X9	Y5	0.357310924
X9	Y6	-0.161296519
X9	Y7	-0.042785114
X9	Y8	-0.064201681
X9	Y9	0.573685474
X9	Y10	0.403313325
X9	Y11	0.244561825
X9	Y12	0.12182473
X9	Y13	-0.085234094
X9	Y14	0.027611044
X9	Y15	-0.133733493
X10	Y0	-0.185978391
X10	Y1	-0.032797119
X10	Y2	0.003793517
X10	Y3	-0.007923169
X10	Y4	0.051044418
X10	Y5	0.052196879
X10	Y6	-0.031644658
X10	Y7	-0.077647059
X10	Y8	-0.006002401
X10	Y9	0.55092437
X10	Y10	0.791404562
X10	Y11	0.638319328
X10	Y12	0.097623049
X10	Y13	-0.086962785
X10	Y14	0.037887155
X10	Y15	-0.096758703
X11	Y0	-0.108571429
X11	Y1	0.044609844
X11	Y2	0.025402161
X11	Y3	0.096086435
X11	Y4	0.092436975
X11	Y5	-0.030396158
X11	Y6	-0.036542617
X11	Y7	0.027515006
X11	Y8	0.084081633
X11	Y9	0.381416567
X11	Y10	0.559183673
X11	Y11	0.707563025
X11	Y12	0.065354142
X11	Y13	-0.008883553
X11	Y14	0.0084994
X11	Y15	-0.072172869
X12	Y0	-0.100984394
X12	Y1	-0.009363745
X12	Y2	0.081488595
X12	Y3	0.19452581
X12	Y4	0.092917167
X12	Y5	0.179447779
X12	Y6	0.008403361
X12	Y7	-0.062376951
X12	Y8	-0.226410564
X12	Y9	0.259927971
X12	Y10	0.213637455
X12	Y11	0.132484994
X12	Y12	0.851140456
X12	Y13	0.613829532
X12	Y14	0.027130852
X12	Y15	-0.154477791
X13	Y0	0.021464586
X13	Y1	0.037695078
X13	Y2	0.160240096
X13	Y3	0.033277311
X13	Y4	-0.019831933
X13	Y5	0.093013205
X13	Y6	-0.020984394
X13	Y7	-0.048067227
X13	Y8	-0.19577431
X13	Y9	0.212388956
X13	Y10	0.095702281
X13	Y11	0.064969988
X13	Y12	0.659927971
X13	Y13	0.840864346
X13	Y14	0.266458583
X13	Y15	0.060648259
X14	Y0	0.013493397
X14	Y1	-0.093301321
X14	Y2	-0.014741897
X14	Y3	-0.332629052
X14	Y4	-0.198655462
X14	Y5	-0.169459784
X14	Y6	0.389771909
X14	Y7	0.14304922
X14	Y8	0.076686675
X14	Y9	0.03270108
X14	Y10	-0.073229292
X14	Y11	-0.102521008
X14	Y12	0.083889556
X14	Y13	0.361152461
X14	Y14	0.81454982
X14	Y15	0.610852341
X15	Y0	-0.085522209
X15	Y1	-0.139591837
X15	Y2	-0.175222089
X15	Y3	-0.287202881
X15	Y4	-0.108571429
X15	Y5	0.013781513
X15	Y6	0.492533013
X15	Y7	0.316014406
X15	Y8	0.304009604
X15	Y9	-0.019927971
X15	Y10	-0.109531813
X15	Y11	-0.145738295
X15	Y12	0.066890756
X15	Y13	0.25819928
X15	Y14	0.580984394
X15	Y15	0.825882353
