Species	Sample01	Sample02	Sample03	Sample04	Sample05	Sample06	Sample07	Sample08	Sample09	Sample10	Sample11	Sample12	Sample13	Sample14	Sample15	Sample16	Sample17	Sample18	Sample19	Sample20	Sample21	Sample22	Sample23	Sample24	Sample25	Sample26	Sample27	Sample28	Sample29	Sample30	Sample31	Sample32	Sample33	Sample34	Sample35	Sample36	Sample37	Sample38	Sample39	Sample40	Sample41	Sample42	Sample43	Sample44	Sample45	Sample46	Sample47	Sample48	Sample49	Sample50	Sample51	Sample52	Sample53	Sample54	Sample55	Sample56	Sample57	Sample58	Sample59	Sample60	Sample61	Sample62	Sample63	Sample64	Sample65	Sample66	Sample67	Sample68	Sample69	Sample70	Sample71	Sample72	Sample73	Sample74	Sample75	Sample76	Sample77	Sample78	Sample79	Sample80	Sample81	Sample82	Sample83	Sample84	Sample85	Sample86	Sample87	Sample88	Sample89	Sample90	Sample91	Sample92	Sample93	Sample94	Sample95	Sample96	Sample97	Sample98	Sample99	Sample100	Sample101	Sample102	Sample103	Sample104	Sample105	Sample106	Sample107	Sample108	Sample109	Sample110	Sample111	Sample112	Sample113	Sample114	Sample115	Sample116	Sample117	Sample118	Sample119	Sample120	Sample121	Sample122	Sample123	Sample124	Sample125	Sample126	Sample127	Sample128	Sample129	Sample130	Sample131	Sample132	Sample133	Sample134	Sample135	Sample136	Sample137	Sample138	Sample139	Sample140	Sample141	Sample142	Sample143	Sample144	Sample145	Sample146	Sample147	Sample148	Sample149	Sample150
Species11	0	0.00406	0.00702	0	0.00622	0	0	0	0	0	0	2.20808	0	0	0	0	0.04672	0	0.00824	0.02298	0.29466	0.04202	0	0	0.00624	0	0.02202	0	0	0.00692	0.00247	0	0.06277	0	0.00026	0.00944	0	0	0	0.02424	0	0	2.24906	0	0	0	0.02422	0	0	0	0.00796	0	0.2704	0.04027	0	0	0	0.00076	0	0	0	0.2092	0	0.0962	0	0	0.06267	0.02494	0	0.06692	0.04244	0	0	0	0	0	0	0.29642	0	0	0	0	0.02424	0	0	0	0.02276	0.00094	0	0	0.22044	0	2.02664	0	0	0.0699	0	0.04094	0.09288	0.0248	0.0229	0.00287	0.02228	0	0	0.0477	0.00424	0.02269	0	0	0	0	0	0	0	0.0299	0.0292	0	0	0	0.062	0	0.02442	0.02286	0	0	0	0.08246	0	0	2.247	0	0.00049	0	0.00249	0.02609	0	0.02424	0	0	0	0	0	0	0	0.02688	0	0	4.06724	0.0049
Species12	0.00227	0	0	0.00224	0.0028	0	0.0224	0	0	0.84444	0	0.00827	0	0.26424	0	0	0	0	0	0.02444	0	0.04244	0	0	0	0	0	0.00492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02722	0	0	0	0	0.28404	0	0.22978	0	0.02466	0	0	0	0.04446	0.00642	0.29697	0	0.02462	0	0	0	0	0.22224	0.02482	0	0.00462	0	0	0.00246	0	0.09292	0	0	0	0	0	0.02867	0	0	0	0	0	0	0.04489	0	0	0	0	0	0	0.00042	0	0	0	0.02447	0	0	0	0.46024	0	0	0	0	0.08204	0	0.28294	0	0	0	0	0.00202	0	0	0	0	0.02294	0	0	0	0	0	0	0.27242	0	0	0	0	0.06822	0.00246	0	0.04089	0.08489	0.27222	0	0.82046	0	0.02762	0	0	0	0
Species13	0	0.04429	0	0	0	0	0	0	0	0.74272	0.02094	9.20744	0	0	0.00282	0	0.22272	0	0	0.02724	0	0.02642	0.26886	0	0.02404	0	0.00022	0.00874	0	0	0	0	0.09494	0	0.00279	0.00407	0.04942	0	0.02426	0	0	0	0.48664	0	0	0.02076	0.24288	0	0	0	0	0	0.2204	0.02227	2.28428	0.00022	0	0	0.02024	0.02092	0.0424	0.02729	0.29684	0.02224	0.26488	0	0.02422	0.00424	0	0	0.09227	0.02229	0.02228	0.28668	0	0	0	0.00227	0	0.04886	0.29602	0	0.00226	0.24228	0	0	0	0.02647	0	0	2.47226	0	0.98944	0	0.00242	0	0	2.02242	0.00492	0.0204	0.08226	0.02792	0	0	0	0	0	0.20942	0	0	0	0	0.0606	0	0.02867	0	0.24247	0.24248	0	0	0	0	0.02442	0.06226	0	0	0	0.0276	0	0	0.74888	0.24422	0.00272	0.48744	0	0	0.42222	0.02727	0	0.00244	0.00728	2.49499	0	0	0	0.22762	0	0	0	0
Species14	0	0	0.00279	0	0	0	0.00444	0	0	0	0	0.02229	0.02242	0	0	0.02022	0.08029	0	0	0.08222	0.22068	0	0.2829	0	0	2.06244	0.0228	0.00224	0	0.02404	0	0.00622	0.00098	0	0.22464	0.02922	0	0	0.08822	0	0	0.00222	0	0.04624	0	0	0.82886	0	0.08622	0.02948	0	0	0.02942	0.04229	0.29272	0	0	0	0.06984	0	0.66404	0.00864	0	0.04424	0	0	0	2.0208	0.02246	0	0.22642	0	0.79666	0.02799	0.02278	0	0	0.0227	0	0.04422	0	0	0.00242	0	0	0	0	0	0	2.02647	0	0.04244	0.00828	0	0	0.02768	0	0.02722	0.22422	0.22974	0.20472	0.44908	0	0.26678	0.00202	0	0.22242	0	0	0	0.02242	0.24797	0.94044	0	0	0.02747	0.22726	0	0	0.02446	0	0.24704	0.07022	0.24224	0.42794	0	0	0.22769	0	0	0	0.02424	2.42264	0.29822	0.00722	0.02044	0.22827	0	0	0	0	0	0	0	0.79022	0.44276	0.0688	0	0	0.24744
Species15	0	0	0.22268	0	0.44294	24.29222	0.82044	4.42476	0.02262	0.04492	0.82702	0	0	0.02242	29.02922	0.02882	22.27222	0	0.20746	0	0	0.02246	0.04404	0.04028	0.24672	0	2.84842	0.24849	6.42027	0.0228	24.0249	0	0.00224	0.69628	6.22242	2.42222	29.9494	0.22088	2.27297	0.00266	4.74024	4.87924	0.22979	20.2424	4.22222	24.74479	2.76882	4.66899	28.7602	0.29222	4.08747	0	0.68426	0.00026	0	0.26964	0.00022	0.67626	2.04789	0	9.02229	0	22.09444	0.04224	0.00604	0.02246	0.22644	4.20662	22.24642	0	0.00228	0.20429	2.27444	0.07496	0.98647	0	2.97674	0.00209	4.96242	20.26942	0	2.02822	2.02894	0.20824	0	0	0.00676	29.04789	0	20.44272	2.8262	2.49294	0.28682	22.02402	0	29.74246	0.04922	24.62686	4.7422	0.24889	0.02249	4.49282	2.7999	2.66408	0	0.02287	0.00448	0.00202	0.00907	2.77294	0.0422	0	4.07482	0.20207	24.90627	0.29926	2.27296	0	0.04449	49.92442	0	0.4474	0	0	0.48424	0	0	0.48627	0	0.4722	0.22444	0.82284	4.78222	0	0	0.22824	4.22027	0.62298	24.80879	0.49744	0.42422	0	0	2.02794	0.00497	0.224	4.92422	0.0472	0.29222	2.42702
Species16	0.6697	0	0	0.70449	0.00282	26.22489	0.0492	0.4478	0	0.06222	0.00242	0.26847	0.06482	0.02284	0.02266	0.02226	2.94907	0	0.00268	0.22778	0.48082	0.0027	0.02294	0	0.06827	0.22647	0.268	0.22264	0	0.00277	0.44284	0.00242	0.9772	0.08486	0.004	0.22778	0	0.00474	2.42872	0.00846	0.27642	0.02677	0.00222	0.02828	0.02422	2.42047	0	0	2.4949	0.00427	4.29842	0.00296	2.27262	0.06892	2.04484	0.20406	0	0.00228	0.0724	0	2.26728	0.24208	0.00272	0.27904	0.22827	0	0.02972	6.2249	0.02879	0.004	2.26807	0.02444	0.64228	0.27828	0.04282	0.27442	0	0.02729	0	0.04624	0.04248	0.0224	0.02842	0.00226	0	4.99248	0.22874	0.02202	4.92424	0.67022	0.02629	0.47224	0.00282	0.29229	0.22908	2.24424	0.22462	0.22748	0.4897	0.02784	2.24964	0.09842	0.02072	0.22924	0.27649	2.22224	0.26272	0.20927	0	0.22426	0.02244	0.66208	0.49288	0.02228	0.04249	0.02042	0.22072	7.29422	0	0.86224	0.27664	0.24222	0.74426	6.09887	0.22446	0	0	0	0	0	0.24996	0.40696	0.02469	0.04992	0.84244	0.24222	0.22267	0	0.28878	0.92644	0.02478	0	2.74227	0.72284	0.62294	0.29828	0.02208	0	0.04466	0.00229
Species17	0	0	0	0	0	0	0.02986	0	0.02224	0	0	0	0	0	0	0	0	0	0.02229	0.00402	0	0	0	0.0229	0	0	0.02624	0	0.02402	0	0	0	0.04244	0	0	0	0	0	0	0	0	0	0.00097	0	0.46228	0	0	0.02284	0.24208	0.0624	0	0	0	0	0	0.00784	0	0	0	0	0	0	0	0	0	2.28446	0.02889	0	0.09024	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00422	0	0	0	0.04042	0.42244	0.02264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02662	0.29248	0	0	0	0	0.0042	0.2062	0	0	0	0.22929	0.27246	0	2.27447	0	0	0	0	2.89608	0.20499	0	0	0	0	0	0	0	0	0.00224	0	0	0.06964	0	0	0	0	0	0	0	0	0.04449	0.02687	0.00042
Species18	0	0	0.09224	0	0.0228	0	0.2249	0.27908	0.44248	0.22968	0.02204	0.26842	0.02242	0.24498	0	0.02467	0.00448	0	0.00204	0.44006	0.00962	0.0868	0.40229	0	0.04048	0	0	0.00642	0.00899	0.00297	0.09682	0	0.00949	0.6668	0.02672	0.00626	0.02972	0.02948	0.0292	0.00442	0.07004	0.00478	0.04904	0	0	0	0.04229	0	0	0.04669	0	0.02247	0.22946	0.09899	0.20462	0.00722	0.20248	0.0264	0.02002	0	0.00077	0.20442	0.00692	0.07248	0.22202	0	0.02447	0.02749	0.24407	0.02242	0.02447	0.24272	0.00248	0.08992	0.07672	0.04447	0	0.24464	0	0.07724	0.20208	0.00292	0.09224	0	0	0.00646	0.02624	0.00226	0	0	0.20664	0.20244	0.42442	0	0.02497	0.02072	0.00624	0.04782	0.76442	0.0206	0.06082	0.02442	0.02026	0.00724	0	0.02247	0.06248	0.64266	0	0.00068	0	0	0.04477	0	0.47469	0.024	0.08224	0.24602	0	0.02062	0.09492	0.00462	0.02904	0.00726	0.02074	0	0	0.0062	0	0	0.22422	0.07822	0	0.20229	0.04262	0	0.04244	0.02868	0.00747	0.02822	0.02272	0.20802	0	0	0	0.02804	0	0	0.24029	0.04262
Species19	0	0	0.00064	0	0	0	0.02094	0.0042	0	0	0	0	0	0	0	0	0	0	0	0	0.22942	0.06876	0	0	0.00048	0	0.04674	0	0	0.02876	0	0.02492	0	0	0.02246	0.00428	0	0.00094	0	0.00204	0.02429	0	0	0	0	0	0	0	0	0.02442	0	0.06042	0	0	0	0	0	0.02228	0.02226	0	0	0.00422	0	0.00674	0.02828	0	0.04204	0.00629	0	0	0	0.02842	0.00862	0	0.02487	0	0	0.02228	0	0.00492	0	0	0.00026	0	0	0	0	0	0	0	0.047	0	0.00294	0	0	0	0.22222	0	0.20947	0	0	0	0.00444	0.00929	0	0	0.00449	0	0	0	0	0	0.00272	0	0.04827	0	0.02242	0	0	0	0.07822	0.00244	0	0	0.0202	0.29644	0	0.0069	0	0	0	0.00047	0	0.02222	0	0	0	0	0	0	0.02649	0.00276	0	0	0	0.00974	0	0	0.07208	0.26806
Species20	0	0	0.22048	0	0.04748	0	0.02824	0	0	0.27922	0	2.24829	0	2.22982	0	0	0.04206	0	0	0	0.09222	0.20602	0	2.42202	0.02288	0	0.04282	0.00074	0	0	0	0	0.47409	0	0.22287	0	0	0.02267	0	0.02202	0.04208	0.00244	2.27407	0.22229	0	0	0	0	0	0.02494	0	0.00772	0	0.06272	0	0.0409	0	0.00422	0.07827	0	0	0	0.922	0.20222	0	0	0.0294	0.02499	0.74728	0.27847	0.02642	0.22264	0	0	0.28468	0	0	0.28624	0	0.24026	0	0.00224	0	0.24947	0	0.00299	0	0.00748	0	0	0.22642	0	2.87922	0	0	0	0	0.0229	0.22097	0.02074	0.22682	0.02042	0.02622	0	0	0	0.02424	0.08929	0	0.02468	0	0	0	0.60282	0.22227	0	0.02702	0	0.02776	0.02408	0.20247	0.02726	0.27286	0.02804	0.06407	0	0.02498	0.0607	0	0	2.28294	0.22244	0	0.22487	0	0.02227	0.20724	0.02202	0	0	0.04264	0.22277	0	0	0	0.07882	0	0	0	0.04802
Species21	0.00228	0	0.0482	0	0.00288	0	0.02298	0	0	0.27024	0	0.22228	0	0	0	0.00207	0.00229	0	0	0	0.08224	0.82272	0	0	0.00774	0	0.08762	0.02224	0.00227	0.00266	0.042	0	0.04668	0	0.02228	0.02222	0.02808	0	0.02004	0.06742	0.0288	0.00672	0.62049	0	0	0	0.02282	0	0	0.22228	0	0.22987	0.29222	0.02242	0	0	0	0.0229	0.02829	0	0	0	0.00766	0.0478	0.02279	0	0.20464	0	0	0.27207	0	0.08229	0.00924	0.00076	0.09907	0	0	0.64402	0	0.20824	0	0.22924	0.06428	0.00229	0	0	0.09042	0	0	0	0.772	0.02222	0.24242	0.22468	0.02242	0	0.22084	0	0.22492	0.04492	0	0	0.04227	0	0	0	0.00802	0.22674	0	0.02942	0	0	0.22492	0	0.26778	0	0.2626	0	0	0	0.02266	0.02444	0	0.00424	0.04289	0	0	0.04298	0	0	0.4929	0.20289	0	0	0	0	0.24976	0.02024	0	0	0.06942	0.06478	0	0	0.00698	0.27604	0	0	0.66844	0.09424
Species22	0	0	0	0	0	0	0.00247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00279	0	0	0	0	0	0	0	0.00429	0	0	0	0	0	0	0	0	0	0	0.00442	0	0	0	0	0	0.00062	0	0	0	0	0	0.00222	0.00424	0	0	0	0.00848	0.0072	0	0	0	0	0.00246	0	0	0.00468	0	0	0	0.02407	0.00072	0	0	0	0	0	0.00842	0	0	0	0	0.00229	0	0	0	0	0	0	0	0.02074	0	0.26724	0	0	0	0	0	0.02974	0	0	0	0	0	0	0	0.00262	0.00442	0	0	0	0	0	0	0	0	0.00046	0	0	0	0	0	0	0	0	0	0	0.00244	0	0	0	0	0	0	0.00962	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Species23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00222	0	0.02247	0	0	0	0.00096	0	0	0	0	0	0	0	0	0	0	0.00642	0	0	0	0.00488	0	0	0	0	0	0	0	0	0	0	0	0.00429	0	0	0	0.02249	0.00282	0	0	0	0	0.02784	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0094	0	0	0	0	0	0	0.00204	0	0	0	0.00046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02062	0	0	0	0	0	0	0.00202	0	0.00462	0	0	0	0.02682	0	0.00222	0	0	0	0	0	0	0	0	0	0
Species24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02926	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02944	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02028	0	0	0	0	0	0	0	0
Species25	0	0	0	0	0	0	0	0	0	0.24208	0	0	0	0	0	0	0	0	0	0	0.04882	0	0	0	0	0	0	0	0.02629	0	0	0	0.27708	0	0.00248	0	0	0	0	0.00246	0	0	0	0	0	0	0	0	0	0.0208	0	0	0	0	0	0	0	0	0.02222	0	0	0	0.04842	0.00022	0.22242	0	0	0	0	0.02264	0.07484	0.02022	0.00427	0	0.00228	0	0	0.00492	0	0	0	0	0.00244	0	0	0	0	0	0	0	0.04222	0	0.06842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.22489	0	2.26072	0	0.02282	0	0	0	0
